Random_ID,Problem_Statement,Resolution_Statement,
13AA7465-BAE1-44DB-8556-0006E67F9849,CALL FOR NO VOLTAGE AT PLATFORM. FOUND A FAULTY GFI OUTLET PART 13585                                                                   ,REPLACED WITH A VAN STOCKED PART TO COMPLETE ON ONSITE REPAIR                                                                           ,EZZ
4B97E51F-2505-46A6-AE61-0006F8279D16,"Unit does not move or work, tech found the gcon shorted out                                                                             ","Removed, replaced and programmed gcon tested worked properly        Previous service manager put claims in drawer, did not file         ",EJE
7735678C-FF0C-489F-A431-0007077270B2,"code 23/no functions, faulty lower module                                                                                               ",replace lower control module. tested. unit working properly. return to service                                                          ,EP
C623238C-CCD6-424C-ABC6-00076F090538,service call no lift functions. inspected and diagnosed unit found bad lift pump.                                                       ,replaced lift pump checked all function topped off fluid everything working properly                                                    ,HP
CD5906CE-BD13-44CE-9583-00086C5F41A6,MACHINE WILL NOT MOVE. T/S ELECTRICAL SYS. AND CONTACTED GENIE TECH SUPPORT.CHECKED WIRING/CONNECTORS. FOUND BRAKE SOLENOID FAILED.     ,LOOKED UP AND ORDERED PARTS. MACHINE SWAPPED OUT. R&I SOLENOID ON BRAKE VALVE. RAN MACHINE AND CHECKED OK.                              ,HV
BF6FE793-97CD-4AA1-95DB-0008DEEE1DB0,control box issue                                                   upper control box board is faulty                                   ,replaced board in box & unit is working properly                                                                                        ,EP
ECAA1B75-87C4-488D-8C6F-0008E691860F,CALL FOR THE UNIT NOT STARTING. FOUND A DEAD BATTERY,REPLACED THE BATTERY. INVOICE ATTACHED,EB
663E84FA-405D-4F8B-BC52-00090F4DC7D9,During our PDI process we found a hydraulic leak. Traced leak to loose fitting at the valve body.,Removed hydraulic line to check o-ring reinstalled and tightened. Leak resolved.,HO
C4CB4B51-6E50-4D89-9B7C-0009F37FDDB1, HIGH SPEED TRAVEL NOT WORKING.                                      HAS POWER AT J1 TERMINAL 8 HAS NO POWER (OUTPUT) AT J2 TERMINAL.   , PCB BOARD REPLACED  - APPROVED BY JEFF DUNN-PARTS ONLY.            NO LABOR DUE TO BEING A GOODWILL WARRANTY CLAIM.                    ,EP
2EE7491B-86BA-4D60-A5BD-000A61D807C9,Charger Defect                                                                                                                          ,Replace the charger                                                                                                                     ,EC
3152EED2-FB55-49CD-A831-000B2122D246,The unit would not turn.                                                                                                                ,Replaced the joystick controller to repair the machine.                                                                                 ,EJ
EAAB29B5-5FB6-43FB-A6A2-000B753F1AA0,rotator not working (wont rotate)                                   faulty rotator                                                      ,replace rotator                                                                                                                         ,HSP
0C2D01CC-151B-44EB-9D6D-000C5CE9897C,jib on unit is loose. Boom to jib pivot bushings found to be cracked and breaking.                                                      ,R&R bushings and replaced pin and tested. Operating as designed.                                                                        ,ZZD
7B961D84-5527-40C3-8790-000DA29758EF,CALL FOR; FO51 error code. faulty gear pump,replaced the gear pump,HP
196F271F-A913-4F9B-828A-000DC3633F57,UNIT WILL NOT GO UP ALL THE WAY o-ring on manifold leaking           FOUND UNIT HAD A HYD LEAK                                          ,FOUND BAD O RING REPLACED O RING                                                                                                        ,HO
B203E943-B5CD-4E9E-9741-000DC9F061F6,Machine function speed very slow                                                                                                        ,Checked and found speed controller not giving output. Replace speed controller.Please process the claim but do not issue credit note.   ,EJE
C099E422-267B-42B8-889A-000DF7E40D63,battery charger not working                                                                                                             ,replaced battery charger                                                                                                                ,EC
F4FB445B-4938-4C35-AB63-000E0D5C3FA0,BASKET ROTATOR LEAKING FOUND HYDAULIC LEAK ON ROTATOR                                                                                   ,REPLACED BASKET ROTATOR & RE TESTED ALL HYDRO FUNCTIONSUNIT OPERATING PROPERLY AT THIS TIME                                             ,HSP
7C979D2B-10BB-433F-9486-000ECA14ECED,EQUIPMENT WILL NOT MOVE. BOOM BASKET WON'T ROTATE TO LEFT.  NEEDS ROTATOR.,DIAGNOSED AND ORDER PARTS. REPLACED ROTATOR AND CHECK FUNCTIONS.,HSP
374E0BA3-5169-4F07-9CA7-000ED0EBE53E,No display at panel instrument. Faulty panel.,Replaced panel instrument checked for proper operation.,EZZ
7EA91683-23FC-4185-969A-000F046D9C22,UNIT BACKFIRED AND PARTS FLEW OFF. INTAKE MANIFOLD AND AIR FILTER HOUSING EXPLODED. PARTS ORDERED.,"REPLACED AIR FILTER HOUSING AND MANIFOLD, VERIFIED REPAIRS",GWW
2E2B3CA7-E1CA-40DA-98C3-000F6E8ACD7A,unit leaking                                                        inspected and found hyd tank was leaking. replaced tank and fit     ,added 10 gal. of hydraulic fluid                                    tested.  unit working properly. returned to service                 ,HR
190AEDBF-B96C-41F1-8C27-0010419B012E,Hydraulic leak.Solenoid valve on upper lift cylinder leaking,Raised scissor lift and blocked up. Found oil leaking out of solenoid valve behind coil. Ordered new valve(part# 66465) and replaced. Operated to check. OK.,HV
63F7F674-137F-4DDF-B56A-0010D7B20F85,The machine lost all functions.                                                                                                         ,Replace the GCON                                                                                                                        ,GW
03DF49F9-7359-478E-80B7-0013CDF6CC26,Diagnos with genie for 154 egr code /clean connections at sensors /test and clear codes /,remove fuel gauge and free up linkage sticking at mid travell/test ok at this time.,GWS
801F7E9A-43E4-4C56-A805-0016AB771727,BRAKES NOT WORKING                                                  BRAKE CYLINDER LEAKING DOWN                                         ,REPLACE CYLINDER                                                                                                                        ,HC
2057E1B9-D04B-43AD-BFB3-0016D0E553E3,BROKEN TAIL PIPE. NEEDS BRACKET.,"KIT, TAILPIPE, DEUTZ D2.9L,S-40 INSTALLED.",GWS
DA4BAD98-4EB1-48F3-95D7-00177191F2A7,Front right hub making popping noises when turning sharp.Unit has bulletin for torque hub update.Right front hub binding up and popping ,Update kit to solve problem. Installed steer valve bypass kit.                                                                          ,MZ
C737CEED-A831-4A71-A525-0017A180CFC1,Unit was leaking.                                                                                                                       ,Replaced 3 hydraulic hoses                                                                                                              ,HH
181753DD-A8B6-4491-BBCF-001989072F51,The steering cylinder leaks oil.                                                                                                        ,Replace a new cylinder.This part is local purchasing)                                                                                   ,HC
FDC8E593-E877-4771-B739-001A552D548A,This claim is opened to issue additional credit for freight on partsas goodwill. Assosiated with claim 597310                           ,Approved by Jeff Dunn                                                                                                                   ,GWS
E5F0AFDC-0E43-4BE1-A7BD-001AD3E7FE3F,CALL FOR THE UNTI LEAKING. FOUND BLOWN O-RING @ CHECK VALVE # 65962                                                                     ,REMOVED AND REPLACED BLOWN O-RING                                                                                                       ,HO
92760254-7FC2-4D5F-9F98-001B2349C999,"INSPECTED UNIT FOR HYDRAULIC LEAK, FOUND THE LEAK COMING FROM THE MANIFOLD. CHECKED AND FOUND A BLOWN ORING","REPLACED BAD ORING ON HE MANIFOLD, UNIT IS NOW REPAIRED.",HO
FE0EA62B-5158-4CE0-963C-001B9D3D3C17,Fuel leak.Fuel line rubbed hole against engine.                                                                                         ,Cut hose shorter and rerouted to eliminate rubbing hose which goes to fuel pump to filter.                                              ,HZZ
224E4056-1558-4176-94D1-001C44F7E95D,no rotate on basket                                                 trouble shoot found bad rotate basket valve                         ,replace rotate basket valve                                                                                                             ,HV
01309581-8228-41B0-8B73-001C4ABC6214,MACHINE WON'T MOVE      FAILED FOOT SWITCH,REPLACED FOOT SWITCH,GWS
CFDD6897-F561-45DD-8AA8-001CC8AA9688,The screen went blank on GCON and wrong reading on charge amount. PCON is not communicating.                                            ,Replace the PCON & GCON to repair the machne.                                                                                           ,GWS
2DDE278E-D244-4F8A-AB3E-001D38F57D96,basket only rotates one way power wire for rotate not making        contact                                                             ,repaired power wire                                                                                                                     ,EZZ
023810BD-471D-4D38-B8F9-001D3F3B8474,Engine stalling will not stay running. Kraft Power to replace harness to engine.,Replaced harness and running.,EWZ
40949AB4-2FE0-43CA-BEF4-001D9014B6B8,Boom not operating correctly. Fast idle linkage fell off.                                                                               ,Replaced clevis yoke assembly.                                                                                                          ,REF
F618DE8E-DD33-4DCE-85CF-001D9EE3F543,Unit in need of replacing potentiometer.,Installed potentiometer kit and tested good.,GWW
AB2B4AF4-E2B3-4F40-BF5D-001DB252D043,exhaust bypass pipe broken                                                                                                              ,pulled of broken exhoust pipe and installed new one check all hadrware and it was secure                                                ,PDM
61D1E745-2BEF-47B4-B15C-001ED3C6FD70,The power light is not bright                                       no electric current is  output                                      ,replace a new charger                                                                                                                   ,EC
DC01C841-1A13-495A-A65D-001F48EE56A1,Hydraulic leak on Boom extend hose  leaking where fitting crimps on hose.  Fork tilt hose also looks wet like it is starting            ,Replaced both hoses with new and rechecked.                                                                                             ,HH
CB031EEA-0A8D-4113-91AD-001FF31F2FF5,HORN BUTTON BROKEN ON DRIVE SELECTOR                                                                                                    ,REPLACED GEAR SELECTOR.                                                                                                                 ,EZZ
319E3F36-0627-4B9E-8779-0021E0601223,"hydraulic leak LOOSE VALVE ASSEMBLY,REPLACED DAMAGED                                O-RING,TESTED UNIT-NO LEAKS                         ","repaired leak, tested everything ok                                                                                                     ",HO
63D86DBE-2774-4429-9185-0022D9036DB4,Batteries not charging. T/S and GCON inop. OK per Jeff Dunn to file.                                                                    ,"Replaced GCON and tested. Works fine, returned machine to service.                                                                      ",GWS
34EF6A99-6DD4-4603-8101-0025F06B2FEA,goodwill freight -new unit arrived not working                                                                                          ,approved by Joe Harper and Bob Bradshaw                                                                                                 ,GW
A69BF1E7-83C5-4EE1-A9B4-002659DE113F,"PER DARREL ROTH, NEED TO REPLACE TURBO                              HEAT SHIELD ON THIS UNIT.                                           ",REPLACED AS NEEDED. ISSUE RESOLVED.                                 PART GIVEN TO US BY DARREL.                                         ,MZ
EB3B6CD4-C895-4ED1-93D8-00274C8B1A2D,The hyd motor was leaking oil.                                                                                                          ,Replace the motor.                                                                                                                      ,ZZD
9DD98B2E-048C-495A-93AE-002759CFA075,CALL FOR NO BASKET ROTATE   ROTATOR FAULTY                                                                                              ,REPLACED ROTATOR                                                                                                                        ,HSP
7AA131BF-0876-400F-BEF9-00277759619B,OIL LEAK.,REPLACED AUXILIARY PUMP THAT WAS LEAKING  INTO MOTOR,HP
37F1EC3E-2E3D-4652-A04C-00286E560E38,"UNIT NOT WORKING PROPERLY                      FAILED CONTROLLER AND POWER TO IT. ALARM NOT WORKING , INTENAL FAILURE AND FAILED PCON","REPLACED CIRCUIT BOARD, COIL CABLE AND ALARM",GWS
CD784ACE-B07F-4DB4-BD73-0028FB7AB72D,"Machine arrived without:(Tape,Non-Skid)on platform Floor.                                                                               ",Tape back all the tapes on platform.                                                                                                    ,AD
686A3D32-4421-4DC9-8A18-0029BEC5312C,Steer cylinders leaking and valves.Faulty cylinders and valves.                                                                         ,Replaced steer cylinders and valves.                                                                                                    ,HV
22937697-B965-4024-865F-0029D5EEBCC7,leak. t/s and found defective oring on main valve block             relief valve #115206                                                ,"replaced oring, cleaned the area and tested for leaks.              unit working properly. returned to service                          ",HO
5DCE8A18-1D74-45B2-BBE1-002A736A0B24,"UNIT LEALS HYD OIL, FOUND LEAK COMING  FROM LEFT DRIVE MOTOR FITTING, BLOWN O-RINGPrimary Part#: 39880                                  ",REMOVED FITTING AND REPLACED O-RING. CLEANED OFF RESIDULE OIL AND TESTED OPERATIONS ALL   OK NO OTHER                                   ,HO
E22F2B96-293D-4089-A119-002B23D6CAE2,"BATTERIES SHOWED LOW VOLTAGE. PLUGGED MACHINE IN OVERNIGHT TO CHARGE. AFTER 12 HOURS CHARGING, UNIT STILL SHOWED LOW VOLTAGE (24.7V)    ",CALLED GENIE TECH AND WAS TOLD UNIT NEEDS AT LEAST 26V TO NOT SHOW LOW VOLTAGE. WAS ADVISED BATTERIES WERE BAD AND TO REPLACE.          ,ZZD
EBE6E0CB-B1CB-4E08-B04B-002B432EFAC9,Bad Solenoid,Found stud pulled out of Solenoid. Replaced and tested ok.,PGT
255946AE-5FDC-4426-AF05-002D96560573,Unit would not take a charge. Tested charger and the charger was bad.                                                                   ,Replaced charger unit charging fine.                                                                                                    ,EC
833845CD-15FC-4075-B22B-002DCAE815D9,"TROUBLESHOOT DRIVE MOTOR, FOUND THAT THE DRIVE MOTOR WAS BAD.                                                                           ","REMOVED, TESTED, AND INSTALLED NEW DRIVE MOTOR, TESTED, AND RETURNED UNIT BACK TO SERVICE.                                              ",noc
1B7D6B54-9E2C-47BD-94AB-002DE0B84F15,broken fan and seat belt not retracting                                                                                                 ,replaced fan and seat belt                                                                                                              ,EM
2EC6A4E1-5553-4DD9-A152-002E1C1962B2,"Controller leaking, needs replacing. Spoke with Steve Strong and he said they've been having issues to order a new one and replace it.",Replaced controller.,HZZ
47D9C084-5DC0-436B-AFEC-002E84E3F7D1,Hydraulic leak                                                      Brake leak                                                          ,Replace brake.                                                                                                                          ,HWB
6A41D974-1C4B-49E9-8527-002E939667CE,Traveled to site.  Ran machine and inspected - found fuel return line leaking @ injector.                                               ,"Removed hose, cut out damaged section and reinstalled hose.  Ran machine again to check for leaks.  non present.  Returned to shop.     ",ZZD
A49B519D-D037-4E0C-A5F8-002E95FA88E9,LOW HYDRAULIC PREASURE,REPLACE HYDRAULIC PUMP TO GET PREASURE BACK TO NORMAL,HP
D904C2A7-23E7-4714-BA77-002F4ABDF986,will not drive. found bad pcba and gcon                                                                                                 ,replaced pcba and gcon                                                                                                                  ,EJE
8B162AB3-4FF8-4051-8FA7-002FA207A095,CHARGER NOT WORK,CHANGE CHARGER INVOICE TVH A (2041245),EC
4E8AF634-BB32-427D-8656-003048966D12,Mechanic was unable to get the oscillating axles to level.                                                                              ,Replaced oscillating control valve.                                                                                                     ,HV
0D987B9B-A759-4472-BCC0-00313A820C9A,during rental inspection the tech found the handle latch wasn't     working correctly                                                   ,the tech pulled & replaced with a new one                                                                                               ,MZ
F7466791-F64F-4281-9458-003141483B21,FAULTY CHARGER    WILL NOT CHARGER                                                                                                      ,REPLACED CHARGER                                                                                                                        ,EC
4DD4A025-E72F-4ACC-A4D4-0031843A9A8D,The machine had no lower functions.                                                                                                     ,Replace the GCON                                                                                                                        ,EJE
01F5B47E-A4C4-4BB2-8392-00322ECD8893,machine controls are not working                                    found gcon is not responding                                        ,replaced gcon; tested fine                                                                                                              ,ZZD
AB4FB516-36A4-475D-86A8-00324C275B1D,engine kept having no start conditions in slightly colder weather,"battery was weak after attempts to start unit. charged battery,cycled glow plugs,could not start.Tested battery.checked block heater and block heater was not giving off any heat.cord tested good.removed/replaced block heater.tested repairs,all good.",PDZ
0A1A6BB8-8D3F-4E8F-9321-00336136B68F,during rental inspection the tech noticed the level sensor alarm    wouldn't shut off / the tech noticed the bracket holding the sensor ,cracked / the tech had the welder dept repair and then the tech     recalibrated (part # 94077)                                         ,MZ
ACFBB9D4-169A-4066-880B-0033F962BF69,MACHINE TILTED ON GCON INTERMITTENLY WHILE OPERATING                ON LEVEL SURFACE.                                                   ,INTERNAL FAULT IN TILT SENSOR                                       R&R TILT SENSOR                                                     ,ZZD
6E622A98-7FF2-4675-9523-0034C0B7CF5D,HYDRAULIC GENERATOR IS LEAKING OUT SHAFT SEAL                               SHAFT SEAL FAILURE                                          ,REMOVE GENERATOR AND CAP OFF THE LINES.        DISASSEMBLE GENERATOR AND REPLACE THE HYDRAULICMOTOR.                                    ,HM
287F52A6-8D33-4ADE-89D8-003578E552C8,"NO HIGH RPM, DEFECTIVE SOLENOID.                                                                                                        ",REPLACE SOLENOID.                                                                                                                       ,GWS
5B175069-BAC9-49E7-BAB9-0035A7BC7AE1,"Brake not working on left wheel, defective brake                                                                                        ",Replaced brakes                                                                                                                         ,HWB
0170C98D-D694-4332-8BB0-0035AE3C7E8D,Left Side Pathole gas spring automatically removing.,Fix the pathole properly and serviced,ZZD
BEC4D360-52B9-4E31-A806-0036622813D2,unit would not start                                                                                                                    ,replaced time delay module                                                                                                              ,EZZ
D7BAC621-066A-4578-A345-003679BFDC73,GAUGE CLUSTER NOT WORKING                                           LENSE ON CLUSTER CRACKED & GAUGES NOT WORKING                       ,INSTALL NEW CLUSTER                                                                                                                     ,EZZ
C5A80B03-9BD4-43E3-82AA-00370AB03723,"Unit is running slow. Checked charging system. Under load unit is showing 20 volts at the motor controller; should be 24volts.Checked batteries, topped off with water but still showing dead. Put unit on charge and informed customer tech would return","Returned to customer site. Unit shows full charge at the charger. Checked batteries, specific gravity too low to hold a charge. Replaced all 4 batteries. Tested unit and returned to service.",ZZD
833980A4-F287-46F8-BDF2-003752071CDF,no fnuctions                                                        ECM defective no power                                              ,replaced ECM                                                                                                                            ,EP
47833D9A-7518-4C8F-B185-0037AB6C4A02,"Terex performed updates (150002). Genie parts provided incorrect part for update for TCON.  Part was installed,continued to have problem","Replace wrong Tcon with right Tcon, continued problems.  Installed resistance kit still had problems.  Touh Yang was to assist.         ",EZZ
5D2FDF83-0198-4A90-A7E8-0037EA06EDB1,"Customer called, unit had hyd leak. Found cut oring on right drive  motor's plug.                                                       ",Replaced O-Ring and tested.                                                                                                             ,HO
2AA4E2CB-02FF-4AD6-A8F9-003898EC1FC5,"8/22:TRAVEL TO JOB(WARD HILL, DUXBURY, VT) REMOVE AND REPLACE HYDRAULIC TANK FILLER TANK NECK WITH ONE THAT APPROXIMATELY 1.5 INCHES TALLER. THE REASON FOR FILLER NECK REPLACEMENT IS THAT THE TANK WOULD OVER FLOW WHEN HYDRAULIC OIL IS AT CORRECT LEVE",ALSO HAD TO REMOVE ACCESS DOOR FOR THE TANK AS THE NEW FILLER NECK WILL NOT ALLOW THE DOOR TO CLOSE.,HR
013E4F54-B7A7-450B-9AD8-00399B808C74,COMPARTMENT DOOR LATCH BROKEN    NEEDS LATCH,REPLACED LATCH,ZZZ
31FDC0EF-5171-4B89-BC82-003A21699A8D,OIL LEAK FROM JOYSTICK. DEFECTIVE SEALS ON JOYSTICK.,REPLACED JOYSTICK,HZZ
B5B09E84-92A8-4AC6-A9E9-003AB3F309AA,"Refurb:  9/12/13  GENIE                                             wont start when cold-35 degrees , unit came with no glow plugs      "," replaced emrs controller will not start,  replaced engine harness  reworked battery cable and ran 8 guage wire to control box          ",REF
725E4B27-06EA-4685-8440-003C5FDD396E,Breakage & Break it.  TAPE,Replaced  INV: 11570 SINGAPORE,ZZD
02282334-CA80-4DE9-A791-003CE0075BF3,will not charge. found bad charger                                                                                                      ,replaced charger                                                                                                                        ,EC
9519B4B0-E052-4376-85FB-003D4565FF90,HYD LEAK                                                            HYD MOTOR FOR GENERATOR LEAKING                                     ,REPLACE MOTOR                                                                                                                           ,HM
30AF1169-6B1E-412A-BBE7-003D4F63827D,muffler clamp broke off  allowing muffler to move around            and dig in weldment                                                 ,"tech replaced the weldment,clamp and muffler , tested               the unit is working correctly                                       ",MZ
ECB002D9-7CCD-48E4-BF68-003E1A43D936,"bottom of boom gouging, wear blocks and shims falling out.          block spacer gouging boom.                                          ","ground gouging flat, cleaned and removed metal from boom, installed shims and wear blocks correctly, lubricated and tested.             ",MZW
4905C94E-7328-4D70-8A07-003F487DD1A1,WILL NOT START/DO ANYTHING. FOUND BATTERY IS FAULTY                                                                                     ,REPLACE BATTERY AND CHECK CHARGING SYSTEM                                                                                               ,EB
A5FB8116-A070-4187-8CF8-003F517B5D02,Wearpads were cracked.                                                                                                                  ,Replaced several wear pads and one shim.                                                                                                ,MZW
D01D9B81-BEF3-41A0-8DDD-003F83A54B8D,door latch came apart                                                                                                                   ,replaced door latch                                                                                                                     ,MZ
6CEBC7F5-AD36-438E-89D1-003F9EA9D855,Unit will not operate/Faulty contactor,Replace contactor,GWS
73BE80BC-83E6-48BD-A51A-003FB08D0040,Brake on crank failed.Faulty mechanism.                                                                                                 ,Replaced winch.                                                                                                                         ,MW
D5063EDF-67B2-4E82-A293-003FF7DDF76F,"No high speed. Off rent. Trace down wiring problem, had broken wires on front of boom. Secondary boom limit switch is not working.      ","Ordered and installed new limit switch and tested. Works good, did 90 day inspection.                                                   ",ES
739FE4C9-7184-4682-B0A7-004035754FA5,EXHAUST PIPE FROM TURBO FLEX JOINT SEPERATED                                                                                            ,REPLACE EXHAUST PIPE AND CLAMP                                                                                                          ,PGM
635A6CA9-DE90-48EF-8922-00404A9C3E89,LEAK NEAR TIRE                                   NEEDS STEER CYLINDER SEALS LEAKING P/N 89065GT,REPLACED STEER CYLINDER,HC
50FD1484-0539-423D-B36C-00407ECAE18C,"UNIT WILL NOT GO INTO REGEN,                                                                                                            ","HAD DEUTZ DELAER GO TO UNIT AND FORCE REGEN WAS PERFORMED, SEE ATTATCHMENT UNIT LOCATED 120 MILES FROM SHOP                             ",GWW
E98A5FDF-D8B6-4F6D-B580-0041397DA4AC,Breakage                                                                                                                                ,Replaced                                                                                                                                ,ZZD
5DD46826-3536-4431-9FD6-00417F97BD88,Charging issue.                                                                                                                         ,Order and install above part per Gary O.                                                                                                ,GW
CD8D136B-9949-45E5-A429-004187522CC1,"can't loosen adjustment bolts on light housings, steel bolts in aluminum housings.                                                      ","replaced one lamp housing, applied never seize to all adjustment bolts                                                                  ",EZZ
5F20736A-D1B3-411D-8B01-0041B7D47C2F,WINCH DOES NOT HOLD LOAD.,"REPLACE WINCH WITH NEW, TEST OPERATION.  WINCH IS OPERATING PROPERLY @ THIS TIME.",MW
98342890-5A03-4E10-B742-004353B21FA4,EXHAUST TAILPIPE BRACKET UPDATE  UPDATE COVERS THE PART ONLY,EXHAUST TAILPIPE BRACKET UPDATE  UPDATE COVERS THE PART ONLY,ZZZ
5891AB25-7762-41C1-BE9E-004442D1B56A,"IGNITION SWITCH FAILED.  CUSTOMER REPORTED UNIT WAS DOWN, AFTER HOURS EMERGENCY, MUST BE REPAIRED ASAP.                                 ","PART ORDERED VIA NEXT DAY DELIVERY. DROVE TO CUSTOMER'S SITE, REMOVED DAMAGED PART, REPLACED WITH NEW PART. TESTED. UNIT WORKS PROPERLY.",ES
CC320F3B-E2B1-4E03-9EAA-0044655355AE,"FUEL LEAK. T/S WE FOUND THAT THE MAIN SUPPLY LINE FROM THE TANK TO  TO THE ENGINE (1/2"" LINE) WAS LEAKING, HOSE WAS ROUTED INCORRECTLY/ ","TOO TIGHT, RESULTING FRICTION DUE TO VIBRATION RUBBED A HOLE IN FUELLINE. REPLACED FUEL LINE W/1/2"", ROUTED PROPERLY. UNIT WORKING PROPE",PDZ
09EF19FF-694D-42F2-9BCD-004539467950,AMWAY BOUGHT A NEW MACHINE A YEAR AGO AND HAS NOTHING BUT PROBLEMS WIHT IT.  WENT OUT TO SITE WITH ART FROM GENIE.  ALC500 BOARD AND    ,PILOT VALVE NEEDED TO BE REPLACED AS WARRANTY PER ART.  WE REPLACED THE PARTS AND TESTED.  UNIT OK NOW.                                 ,HV
FE69FB3B-C033-4FF8-BD42-0046635DB4D3,"UNIT REFURBISHED BY GENIE. CUSTOMER CALLED, BASKET STUCK AND  WILL NOT ROTATE. DISCHARGED DEBRIS IN VALVES FROM REFURB.                 ",SWAPPED OUT HOLDING CARTRIDGES AT ROTATOR AND TESTED. OPERATING AS DESIGNED.                                                            ,REF
E068905D-8CA2-4A49-96F6-0047F045B457,SERVICE CALL TO THE FIELD FOR OIL LEAK.FOUND BAD O-RING ON CHECK VALVE AT HYD MANIFOLD.                                                 ,OUTSIDE REPAIR.                                                                                                                         ,HO
962F94F2-B5E1-4FA5-A1CC-00482405C3E7,"BASKET WILL NOT LEVEL WHEN LOWERING                                 REPLACED COUNTERBALANCE VALVES, FOUND FUNCTION MANIFOLD FAULTY      ","REPLACED COUNTERBALANCE VALVES, RELIEF, MASTER CYLINDER AND FUNCTIONMANIFOLD. REPAIR APPROVED BY BRAD TRASK.                            ",HC
721D4B45-3C59-4885-9861-0049C212E4DC,S/C NO FUNCTIONS FROM GROUND OR PLATFORM CONROLS. ELECT MOTOR WONT TURN ON WHEN FUNCTION BUTTONS AE DEPRESSED. ELECT MOTOR HAS INTERNAL FAILURES.,REMOVE & INSTALLED NEW ELECT MOTOR. TESTED ALL FUNCTIONS AND ALL FUNCTIONS ARE WORKING PROPERLY. REL,EM
2D7F1A6E-8EE1-4EEB-9D4E-004A1C13A95E,SERVICE CALL TO THE FIELD FOR UNIT WONT START. FOUND SHIFTER BAD/FAILED.                                                                ,REMOVED AND REPLACED SHIFTER                                                                                                            ,GWW
F8AE4C68-0B4E-422D-8AAC-004A761B2137,Rear steering cylinder leaking from head.                                                                                               ,Install new seals and test for leaks.  None found.                                                                                      ,HC
146913D0-B862-4BB7-A979-004B61DD3D6B,"PER ""MARTIN FERRELL'S REQUEST DC CONVERTER KIT NEEDS TO BE INSTALLED                                                                    ",INSTALLED KIT                                                                                                                           ,GW
42A4B10D-BB69-4A94-B223-004D2102C02B,WON'T GO UP AND MOVES SUPER SLOW.Hydraulic pump was not working.,Had to remove the hydraulic tank & the pump & motor. Installed new pump onto the motor. I transferred fittings to new pump with new o-ring seals. Cleaned out the hydraulic tank. I reinstalled hydraulic tank & installed new filter.,ZZZ
C5E8BA2D-709F-402D-8560-004D2CC2409B,"Defective gauges, instrument cluster is faulty                                                                                          ",Replaced the instrument cluster and functions checked unit                                                                              ,EZZ
D308C716-CFC9-42FB-AAC4-004D930DEE30,Unit had a leak coming from the rear. Troubleshot to the rear hub motor leaking-removed-leaking past seal                               ,replaced with another seal and reinstall. no further leaks.                                                                             ,ZZD
2F246711-109B-4228-B145-004E2892F36D,HYD LEAK                                                            FOUND BLOWN ORING AT CENTER POST ROTATOR                            ,REPLACED O-RING                                                     Primary Part#: 89571                                                ,HO
