raw_id,raw_name,raw_desc,resolved_exists,resolved_id,canonical_id,resolved_action,_cluster_id,notes
CanRep_Can_df1f945b,FCC units,"Fluid Catalytic Cracking units in refineries, which may include steam-generating components and are susceptible to graphitization and spheroidization in hot-wall components.",True,CanRep_Can_ba88cd46,Can_df1f945b,merged,114,
CanRep_Can_cc91e969,catalytic reforming units,"Units in refineries used to convert naphtha into high-octane gasoline components, with potential issues such as graphitization, spheroidization, and temper embrittlement affecting components like reactors and exchangers.",True,CanRep_Can_eeb82195,Can_cc91e969,merged,113,
CanRep_Can_062323f3,coker units,"Refinery units used to convert residual oil into lighter hydrocarbons and petroleum coke, susceptible to graphitization, spheroidization, and temper embrittlement.",True,CanRep_Can_34fe23c1,Can_062323f3,merged,111,
CanRep_Can_4af8a5a8,Bainitic grades,"Steel grades with a bainitic microstructure, less susceptible to graphitization compared to coarse pearlitic grades.",True,CanRep_Can_4af8a5a8,Can_4af8a5a8,kept,66,
CanRep_Can_03037f54,Coarse pearlitic grades,"Steel grades with a coarse pearlitic microstructure, more susceptible to graphitization compared to bainitic grades.",True,CanRep_Can_03037f54,Can_03037f54,kept,66,
CanRep_Can_42b781ff,reactor,"A vessel or process unit used in chemical processing, where alloy steel samples are installed for monitoring temper embrittlement, and affected by graphitization and temper embrittlement in various units.",True,En_bd56ca91,Can_42b781ff,merged,107,
CanRep_Can_47091bf5,Metallographic Examination,"A technique for observing microstructural changes, such as graphitization and sigma phase embrittlement, not visible to the naked eye.",True,CanRep_Can_b81ae8c2,Can_47091bf5,merged,92,
CanRep_Can_8b0ed054,spheroidization,"A microstructural change in steels where carbides transform into a spheroidal form, reducing strength and creep resistance.",True,CanRep_Can_8b0ed054,Can_8b0ed054,kept_noise_global,-1,
CanRep_Can_308d24a0,creep deformation,"Time-dependent deformation of metal components under stress at high temperatures, leading to potential surface breaking cracks and diametric growth.",True,CanRep_Can_308d24a0,Can_308d24a0,kept,206,
CanRep_Can_e3a50eea,R. Viswanathan,Author of studies on graphitization of steels and damage mechanisms in high temperature components.,True,CanRep_Can_e3a50eea,Can_e3a50eea,kept,31,
CanRep_Can_e107e5d5,First International Symposium: Microstructures and Mechanical Properties of Aging Materials,A conference where research on graphitization of steels was presented in November 1992.,True,CanRep_Can_e107e5d5,Can_e107e5d5,kept_noise_global,-1,
CanRep_Can_9dd97a07,R.D. Port,Author and co-author of works including 'Non-Weld Related Graphitization Failures' and 'The NALCO Guide To Boiler Failure Analysis.',True,CanRep_Can_35a1e3b8,Can_9dd97a07,merged,105,
CanRep_Can_aa5902d1,"Materials Park, OH","Location of ASM International, the publisher of various editions of the Metals Handbook.",True,CanRep_Can_aa5902d1,Can_aa5902d1,kept_noise_global,-1,
CanRep_Can_b089edf9,The National Board of Boiler and Pressure Vessel Inspectors,"An organization involved in the inspection of boilers and pressure vessels, associated with the publication of 'Microstructural Degradation'.",True,CanRep_Can_b089edf9,Can_b089edf9,kept,60,
CanRep_Can_9575a342,stress-rupture properties,"Mechanical properties of materials under stress over time, indicating the ability to withstand stress without rupturing, affected by graphitization in steel.",True,CanRep_Can_9575a342,Can_9575a342,kept_noise_global,-1,
CanRep_Can_7151ca9c,"WRC Bulletin Series, No.32",Publication where Joseph G. Wilson's study on graphitization was featured.,True,CanRep_Can_7151ca9c,Can_7151ca9c,kept,51,
CanRep_Can_2d8fb481,loss in strength,"A reduction in the mechanical strength of steel due to spheroidization, potentially up to 30%.",True,CanRep_Can_2d8fb481,Can_2d8fb481,kept_noise_global,-1,
CanRep_Can_4c8416e0,fired heater tubes,Tubes in fired heaters that are susceptible to various forms of damage including creep and require inspection.,True,CanRep_Can_4c8416e0,Can_4c8416e0,kept,98,
CanRep_Can_a84ee6b5,NACE International,"Organization associated with corrosion engineering standards, publications, and conferences, including 'Corrosion Control in the Chemical Process Industries' and 'Materials Selection for Refineries and Associated Facilities'.",True,CanRep_Can_adb85ce9,Can_a84ee6b5,merged,63,
CanRep_Can_4a7a1cd6,temper embrittlement,"Reduction in toughness due to metallurgical changes in low alloy steels after long-term exposure to certain temperatures, often leading to brittle fracture.",True,CanRep_Can_4a7a1cd6,Can_4a7a1cd6,kept,202,
CanRep_Can_c35558d2,"startup, shutdown, and transient conditions",Operational phases and conditions where equipment is at risk of embrittlement and thermal fatigue due to temperature changes.,False,,,,,
CanRep_Can_92c85bb3,C-0.5Mo alloy steel,"A type of low alloy steel known for its specific composition, affected by strain aging and not significantly by temper embrittlement.",True,CanRep_Can_92c85bb3,Can_92c85bb3,kept,180,
CanRep_Can_9e62efea,impact testing,"A method used to evaluate the toughness of materials by measuring their response to a sudden force, often to identify embrittlement. This includes verification processes like the Charpy impact test.",True,CanRep_Can_dd6d0752,Can_9e62efea,merged,121,
CanRep_Can_27c5bd0d,R.A. White,Co-author of 'Materials Selection for Refineries and Associated Facilities'.,True,CanRep_Can_27c5bd0d,Can_27c5bd0d,kept,23,
CanRep_Can_ffa752f3,E.F. Ehmke,Co-author of 'Materials Selection for Refineries and Associated Facilities'.,True,CanRep_Can_1774bb7b,Can_ffa752f3,merged,23,
CanRep_Can_8c8bd433,Materials Selection for Refineries and Associated Facilities,A publication focused on selecting materials for use in refineries and related facilities.,True,CanRep_Can_8c8bd433,Can_8c8bd433,kept_noise_global,-1,
CanRep_Can_738bd02b,1991,The year of publication for 'Materials Selection for Refineries and Associated Facilities'.,True,CanRep_Can_738bd02b,Can_738bd02b,kept,19,
CanRep_Can_209f6852,Damage Mechanisms and Life Assessment of High Temperature Components,"A publication by R. Viswanathan discussing damage mechanisms and life assessment in high temperature components, published by ASM International in 1989.",True,CanRep_Can_209f6852,Can_209f6852,kept_noise_global,-1,
CanRep_Can_ed9aa4e9,API Recommended Practice 934,Guidelines for materials and fabrication of Cr-Mo steel pressure vessels.,True,CanRep_Can_ed9aa4e9,Can_ed9aa4e9,kept,34,
CanRep_Can_573e2144,Heavy Wall Pressure Vessels,"Thick-walled pressure vessels designed to withstand high temperature and high pressure conditions, including specific types like 2-1/4 Cr-1Mo and 3Cr-1Mo steel vessels.",True,CanRep_Can_573e2144,Can_573e2144,kept,89,
CanRep_Can_96903f49,American Petroleum Institute,"An organization that publishes standards, guidelines, and practices for the oil and natural gas industry, based in Washington, D.C.",True,CanRep_Can_f055795b,Can_96903f49,merged,13,
CanRep_Can_0f02c77a,"High Temperature, High Pressure Service","Operating conditions involving elevated temperatures and pressures, requiring specialized materials and design.",True,CanRep_Can_0f02c77a,Can_0f02c77a,kept,177,
CanRep_Can_e0b400fd,strain aging,"A damage mechanism in older carbon steels and C-0.5 Mo low alloy steels due to deformation and aging, leading to increased hardness, strength, and brittleness, often associated with welding and susceptible to brittle cracks.",True,CanRep_Can_e0b400fd,Can_e0b400fd,kept,203,
CanRep_Can_0d36ebb6,increase in hardness and strength,"An increase in hardness and strength, which can result from strain aging or 885°F embrittlement, leading to harder and stronger materials but less ductile and tough.",True,CanRep_Can_0d36ebb6,Can_0d36ebb6,kept,160,
CanRep_Can_85e22b6c,"ASME Boiler and Pressure Vessel Code, Section VIII, Division I",A standard by the American Society of Mechanical Engineers for the design and construction of pressure vessels.,True,CanRep_Can_85e22b6c,Can_85e22b6c,kept,96,
CanRep_Can_8c1184f4,885°F (475°C) embrittlement,"A metallurgical change causing loss of toughness in ferritic alloys due to exposure to specific temperature ranges, typically 600°F to 1000°F.",True,CanRep_Can_8c1184f4,Can_8c1184f4,kept,202,
CanRep_Can_dbe98b41,400 Series SS,"A series of ferritic and martensitic stainless steels, including types 405, 409, 410, 410S, 430, and 446, with 17% Cr or more, susceptible to embrittlement, sigma phase formation, and cavitation.",True,CanRep_Can_f71a8500,Can_dbe98b41,merged,167,
CanRep_Can_5eba01e6,300 Series SS,"A series of austenitic stainless steels, including wrought metals, weld metal, and castings, susceptible to embrittlement, sigma phase formation, and cavitation. Stainless steel series that can be inspected for cracks using UT and PT methods.",True,CanRep_Can_524115e2,Can_5eba01e6,merged,166,
CanRep_Can_4835db2e,transformation range,"Temperature range where phase transformations occur, leading to embrittlement.",True,CanRep_Can_4835db2e,Can_4835db2e,kept_noise_global,-1,
CanRep_Can_7eae7320,bend testing,A testing method to confirm embrittlement by assessing material ductility and ability to withstand bending.,True,CanRep_Can_7eae7320,Can_7eae7320,kept,117,
CanRep_Can_88f0a4bd,turnarounds,"Operational periods when equipment is taken offline for maintenance, often revealing embrittlement-related issues.",True,CanRep_Can_88f0a4bd,Can_88f0a4bd,kept_noise_global,-1,
CanRep_Can_bcbf140f,sigma phase embrittlement,Loss of fracture toughness in stainless steels due to the formation of sigma phase at high temperatures.,True,CanRep_Can_391c156b,Can_bcbf140f,merged,125,
CanRep_Can_367d518e,sigma phase,"A metallurgical phase that can form in stainless steels, leading to reduced fracture toughness.",True,CanRep_Can_367d518e,Can_367d518e,kept,125,
CanRep_Can_6ece2282,postweld heat treatment,A heat treatment process applied after welding to reduce issues such as sigma phase formation and creep cracking.,True,CanRep_Can_6ece2282,Can_6ece2282,kept,185,
CanRep_Can_97c14473,fracture toughness,"A measure of a material's ability to resist fracture, often measured by a Charpy impact test.",True,CanRep_Can_97c14473,Can_97c14473,kept,115,
CanRep_Can_dddb0601,grain size,"The size of grains in a material, affecting its mechanical properties, toughness, and resistance to various forms of cracking.",True,CanRep_Can_dddb0601,Can_dddb0601,kept_noise_global,-1,
CanRep_Can_664801a4,API RP 579 Fitness-For-Service,A standard for Fitness-For-Service assessments published by the American Petroleum Institute.,False,,,,,
CanRep_Can_b6085d8a,WRC Bulletin 418,A publication by the Welding Research Council discussing the fracture toughness of A533-B steel.,True,CanRep_Can_b6085d8a,Can_b6085d8a,kept,51,
CanRep_Can_d6093502,Creep/Stress Rupture,"A failure mechanism involving deformation and rupture under sustained high temperature and stress, leading to material failure.",True,En_c7ad7807,Can_d6093502,merged,207,
CanRep_Can_850643ce,metals and alloys,"Materials that include metals and alloys, which can be affected by various factors such as creep, stress rupture, thermal shock, and erosion.",True,CanRep_Can_87e7a050,Can_850643ce,merged,193,
CanRep_Can_78a19e95,strain rate,"Rate of damage sensitive to both load and temperature, affecting the rate of creep deformation.",True,CanRep_Can_78a19e95,Can_78a19e95,kept_noise_global,-1,
CanRep_Can_99c5cd3c,threshold temperature,Temperature above which creep damage becomes a concern and below which the life of metal components becomes nearly infinite.,True,CanRep_Can_99c5cd3c,Can_99c5cd3c,kept_noise_global,-1,
CanRep_Can_7d7815e8,creep damage,"Damage to metal components due to time-dependent deformation under stress at high temperatures, characterized by microvoid formation, fissuring, and dimensional changes.",True,CanRep_Can_9cbb178e,Can_7d7815e8,merged,208,
CanRep_Can_f21093b1,low creep ductility,A condition where materials exhibit limited deformation before failure under creep conditions.,True,CanRep_Can_f21093b1,Can_f21093b1,kept_noise_global,-1,
CanRep_Can_050548b6,bulging,"Deformation of tubes indicating potential internal pressure, material weakness, or long term creep damage.",True,CanRep_Can_9ae196d6,Can_050548b6,merged,161,
CanRep_Can_62914c2a,destructive sampling,A method involving the removal and testing of material samples to confirm damage.,True,CanRep_Can_62914c2a,Can_62914c2a,kept,92,
CanRep_Can_33a73705,visual inspection,"A non-destructive examination method involving the visual assessment of components to detect various types of damage, including cavitation.",True,CanRep_Can_7eaec38c,Can_33a73705,merged,154,
CanRep_Can_2c83f9de,reheat cracking,"Cracking due to stress relaxation during PWHT or in service at elevated temperatures, found in heavy wall equipment and austenitic stainless steels, also known as stress relief or stress relaxation cracking.",True,CanRep_Can_9d8b7dec,Can_2c83f9de,merged,210,
CanRep_Can_04bc24cf,"Washington, D.C.","The capital city of the United States, mentioned as the location of the American Petroleum Institute.",True,CanRep_Can_d03cc077,Can_04bc24cf,merged,11,
CanRep_Can_588d106c,steam generating equipment,"Equipment used for generating steam, often subject to thermal fatigue cracking, including fired boilers and waste heat exchangers.",True,CanRep_Can_588d106c,Can_588d106c,kept_noise_global,-1,
CanRep_Can_e114efd4,Combustion Fossil Power Systems,"A reference book on combustion engineering and fossil power systems, third edition, published by Combustion Engineering in 1981.",True,CanRep_Can_e114efd4,Can_e114efd4,kept,32,
CanRep_Can_5510533d,Defects and Failures In Pressure Vessels and Piping,"A book by H. Thielsch discussing defects and failures in pressure vessels and piping, published by Krieger Publishing Co., NY, 1977.",True,CanRep_Can_5510533d,Can_5510533d,kept_noise_global,-1,
CanRep_Can_2d5f0bab,Krieger Publishing Co.,"A publishing company based in NY, known for publishing technical and scientific literature, including 'Defects and Failures In Pressure Vessels and Piping'.",True,CanRep_Can_2d5f0bab,Can_2d5f0bab,kept_noise_global,-1,
CanRep_Can_ec2fa4cb,The NALCO Guide to Boiler Failure Analysis,"A guidebook on boiler failure analysis authored by R.D. Port and H.M. Herro, published by McGraw-Hill in 1991.",True,CanRep_Can_ec2fa4cb,Can_ec2fa4cb,kept,105,
CanRep_Can_97fd737b,McGraw Hill,"Publisher of 'The NALCO Guide To Boiler Failure Analysis', based in NY, known for educational and professional publications.",True,CanRep_Can_97fd737b,Can_97fd737b,kept,20,
CanRep_Can_1b20cb44,NY,"Location associated with publishers McGraw Hill and John Wiley & Sons, Inc.",True,CanRep_Can_1b20cb44,Can_1b20cb44,kept,20,
CanRep_Can_8cae5acf,Metallurgical Failures in Fossil Fired Boilers,"A book by D.N. French discussing metallurgical failures in fossil-fired boilers, published by John Wiley & Sons in 1993.",True,CanRep_Can_9c27b868,Can_8cae5acf,merged,127,
CanRep_Can_3767bbb3,"John Wiley & Sons, Inc.",Publishing company for 'Metallurgical Failures In Fossil Fired Boilers'.,True,CanRep_Can_3767bbb3,Can_3767bbb3,kept,20,
CanRep_Can_652c592d,1993,Publication year of 'Metallurgical Failures in Fossil Fired Boilers'.,True,CanRep_Can_652c592d,Can_652c592d,kept,19,
CanRep_Can_ba94681a,EPRI,"Electric Power Research Institute, a research organization based in California.",True,CanRep_Can_ba94681a,Can_ba94681a,kept,3,
CanRep_Can_443bdcf0,Short Term Overheating,"A rapid increase in temperature leading to permanent deformation or tube rupture, often occurring within minutes.",True,CanRep_Can_443bdcf0,Can_443bdcf0,kept_noise_global,-1,
CanRep_Can_63b8fa93,flame impingement,"Direct contact of flame with a surface, causing localized overheating and potentially leading to damage.",True,CanRep_Can_399be121,Can_63b8fa93,merged,179,
CanRep_Can_60b56c55,localized deformation,"Damage characterized by bulging on the order of 3% to 10% or more, often due to overheating.",True,CanRep_Can_60b56c55,Can_60b56c55,kept,161,
CanRep_Can_3e9db18c,Departure From Nucleate Boiling (DNB),"A condition where steam bubbles coalesce into a steam blanket, leading to potential tube rupture.",True,CanRep_Can_cd9d8669,Can_cd9d8669,modified,97,
CanRep_Can_e4466a83,fluid flow,"The movement of fluid, which is critical in various operating conditions and can lead to issues like erosion, erosion-corrosion, and mechanical fatigue.",True,CanRep_Can_e4466a83,Can_e4466a83,kept,50,
CanRep_Can_537d312b,H. Thielsch,Author of the book 'Defects and Failures In Pressure Vessels and Piping'.,True,CanRep_Can_537d312b,Can_537d312b,kept_noise_global,-1,
CanRep_Can_cae26199,substrate hardness,"The hardness of the metal substrate, which can be increased using harder alloys or treatments to improve erosion resistance.",True,CanRep_Can_cae26199,Can_cae26199,kept_noise_global,-1,
CanRep_Can_ea3fc779,hardfacing,"A surface-hardening treatment, also known as hard surfacing, to improve resistance to erosion and cavitation damage.",True,CanRep_Can_ea3fc779,Can_ea3fc779,kept_noise_global,-1,
CanRep_Can_6c4e028f,erosion resistant refractories,"Refractories used in cyclones and slide valves to resist erosion, prone to mechanical damage and corrosion.",True,CanRep_Can_6c4e028f,Can_6c4e028f,kept,94,
CanRep_Can_c5532421,deaeration,A process to reduce corrosivity by removing dissolved gases from liquids.,True,CanRep_Can_c5532421,Can_c5532421,kept,33,
CanRep_Can_3ca6bc03,condensate injection,Technique to reduce corrosivity by injecting condensate into the process environment.,True,CanRep_Can_3ca6bc03,Can_3ca6bc03,kept,33,
CanRep_Can_d4cfba75,cavitation damage,"Erosion caused by the formation and collapse of vapor bubbles, leading to metal loss, characterized by sharp-edged pitting or gouged appearance.",True,CanRep_Can_06cb5c43,Can_d4cfba75,merged,194,
CanRep_Can_4b80163c,design modification,Alterations in equipment design or mechanical components to prevent cavitation damage or erosion.,False,,,,,
CanRep_Can_eb750d8c,operating change,Adjustments in operation to prevent cavitation by maintaining pressure above vapor pressure.,True,CanRep_Can_eb750d8c,Can_eb750d8c,kept,41,
CanRep_Can_8616b4e1,cavitation prevention techniques,"Various methods to prevent cavitation by modifying flow paths, reducing fluid velocities, removing entrained air, altering fluid properties, and stabilizing flow.",True,CanRep_Can_8616b4e1,Can_8616b4e1,kept_noise_global,-1,
CanRep_Can_4240f43c,toughness,The ability of a material to absorb energy and plastically deform without fracturing.,True,CanRep_Can_8bcdc757,Can_4240f43c,merged,115,
CanRep_Can_0f5d098a,Corrosion Control in the Chemical Process Industries,"A book by C.P. Dillon on managing corrosion in chemical processing, published by MTI in 1994.",True,CanRep_Can_0f5d098a,Can_0f5d098a,kept,222,
CanRep_Can_546bfd23,MTI,An organization associated with the publication of 'Corrosion Control in the Chemical Process Industries'.,True,CanRep_Can_546bfd23,Can_546bfd23,kept_noise_global,-1,
