canonical_id,canonical_name,canonical_type,n_members,example_members,rationale
Can_6c719733,heat affected zone graphitization,DamageMechanism,3,weld heat affected zone graphitization | heat affected zone graphitization | heat affected zone graphitization,"All entities describe the same damage mechanism involving graphitization in the heat-affected zone of welds, with similar descriptions and type hints."
Can_ae2f431c,hot-wall piping,Component,3,hot-wall piping | hot-wall piping | hot wall piping,"All entities refer to piping that operates at high temperatures and are used in similar industrial contexts, with slight variations in description that complement each other."
Can_6cf8b163,exposure time,CriticalFactor,3,time of exposure | time | exposure time,"All entities refer to the duration of exposure to conditions affecting material properties, with similar descriptions and type hints, suggesting they represent the same concept."
Can_46c1b718,ductile-to-brittle transition temperature,MaterialProperty,3,ductile-to-brittle transition temperature | ductile-to-brittle transition temperature | ductile-to-brittle transition temperature,"All entities refer to the same material property with similar descriptions and identical names, indicating they represent the same concept."
Can_60ea5c33,ASM Metals Handbook: Properties and Selection,ReferenceMaterial,3,ASM Metals Handbook | ASM Metals Handbook | ASM Metals Handbook,"These entities describe the same reference material focusing on properties and selection of metals, specifically iron, steels, and high-performance alloys."
Can_696d2f85,Ferritic Materials,Material,3,Ferritic Stainless Steels | Ferritic Steels | ferritic materials,"These entities all describe materials with a ferritic structure, including stainless steels and low alloy steels, and share similar properties and applications."
Can_e2a1af62,"ASM Metals Handbook, Volume 13, “Corrosion”",ReferenceMaterial,3,"ASM Metals Handbook, Volume 13, “Corrosion” | ASM Metals Handbook, Volume 13, “Corrosion” | ASM Metals Handbook, Volume 13, “Corrosion”","All entities have the same name, type, and similar descriptions, indicating they refer to the same reference material."
Can_7d7ac467,H.M. Herro,Author,3,H.M. Herro | H.M. Herro | H.M. Herro,"All entities refer to the same author with consistent name and description, differing only in publication details which can be consolidated."
Can_57e1f6be,Charpy impact test,InspectionMethod,3,Charpy V-notch impact test | Charpy impact testing | Charpy impact test,"All entities refer to the Charpy impact test, a method for assessing material toughness, with slight variations in description but consistent in purpose and type."
Can_7345b7be,thermal fatigue,DamageMechanism,3,thermal fatigue | thermal fatigue | Thermal fatigue,"All entities refer to the same concept of thermal fatigue, a damage mechanism involving temperature fluctuations and cyclic stresses, with slight variations in description."
Can_4b80163c,design modification,MitigationAction,3,mechanical modification | design change | design improvements,"These entities all describe changes to design or mechanical components to prevent damage, fitting under a broader concept of design modification."
Can_9a9cf999,local overheating,DamageMechanism,2,local overheating | local overheating,"Both entities refer to 'local overheating' as a damage mechanism with overlapping descriptions, indicating they are the same concept."
Can_2e8a8b04,Boiler Tube Failures,FailureEvent,2,Boiler Tube Failures | Boiler Tube Failures,"Both entities have the same name, type, and very similar descriptions, indicating they refer to the same concept of failures in boiler tubes."
Can_0cf078af,D.N. French,Author,2,D.N. French | D.N. French,"Both entities have the same name, type, and are described as the author of the same book, indicating they refer to the same individual."
Can_6e43c5e7,thermal shock,DamageMechanism,2,thermal shock | thermal shock,"Both entities have the same name and type, and their descriptions are nearly identical, differing only slightly in wording. This suggests they refer to the same concept."
Can_a116026f,corrosion,DamageMechanism,2,corrosion | corrosion,"Both entities describe the general concept of corrosion as a chemical degradation process, with overlapping descriptions."
Can_fa8670a4,moisture,Condition,2,moisture | water phase,"Both entities refer to the presence of water necessary for conductivity, and can be merged under the concept of 'moisture'."
Can_92e95a22,Boiler Tube Failures,FailureEvent,2,Boiler Tube Failures | Boiler Tube Failures,"Both entities refer to a comprehensive study on boiler tube failures, with similar descriptions and the same type hint, indicating they are the same entity."
Can_f0be514d,1.25Cr-0.5Mo,Material,2,1.25Cr-0.5Mo | 1.25Cr-0.5Mo,Both entities have the same name and similar descriptions indicating they refer to the same material.
Can_22317f5f,API Standard 530,Standard,2,API Standard 530 | API Standard 530,"Both entities refer to the same standard for calculating heater tube thickness, with one providing additional detail about the issuing organization."
Can_b66f6fea,thermal fatigue,DamageMechanism,2,thermal fatigue | thermal fatigue,"Both entities have the same name, type, and very similar descriptions, indicating they refer to the same concept."
Can_23df5248,API Standard 660,Standard,2,API Standard 660 | API Standard 660,"Both entities refer to the same standard for shell and tube heat exchangers in refinery service, with similar descriptions and identical names."
Can_8a8eead3,temperature swing,OperatingCondition,2,temperature swing | temperature swing,"Both entities refer to the same concept of temperature variation impacting thermal fatigue, with similar descriptions and identical type hints."
Can_1e244d5e,number of cycles,OperatingCondition,2,number of cycles | number of cycles,"Both entities have the same name and type hint, and their descriptions are very similar, indicating they refer to the same concept."
Can_3160b077,cracking,DamageMechanism,2,cracks | cracking,"Both entities describe cracking as a form of mechanical damage, with similar characteristics and effects, fitting under the same type."
Can_b28d4eea,stress,OperatingCondition,2,stress | stress,"Both entities have the same name, type, and similar descriptions related to stress in thermal fatigue, indicating they refer to the same concept."
Can_a9b24aee,RT,InspectionMethod,2,RT | RT,"Both entities refer to the same inspection method, Radiographic Testing, with similar descriptions and type hints."
Can_09d44f87,SWUT,InspectionMethod,2,SWUT | SWUT,"Both entities refer to the same inspection method, SWUT, with similar descriptions and type hints, indicating they are the same entity."
Can_73be660e,Penetrant Testing,InspectionMethod,2,PT | PT examination,"Both entities refer to the same non-destructive testing method, Penetrant Testing, with similar descriptions and type hints."
Can_b160aa4f,naphthenic acid corrosion,DamageMechanism,2,NAC | naphthenic acid corrosion,"Both entities describe the same corrosion mechanism caused by naphthenic acids, with similar descriptions and type hints."
Can_18403fa2,thermal fatigue,DamageMechanism,2,thermal fatigue | thermal fatigue,"Both entities have the same name, type, and nearly identical descriptions, indicating they refer to the same concept."
Can_94132a1d,stress raiser,ComponentFeature,2,stress raiser | stress raisers,"Both entities refer to the same concept of stress concentration leading to crack initiation, with slight variations in description and type hint. Merging them provides a unified representation."
Can_cd076f80,Eddy Current Testing,InspectionMethod,2,EC | EC,"Both entities refer to the same inspection method, Eddy Current Testing, with similar descriptions and type hints."
Can_cf61553c,Acoustic Emission Testing,InspectionMethod,2,AE | AET,"Both entities refer to acoustic emission methods used for inspection, with similar descriptions and purposes."
Can_8b7f0196,refractory damage,DamageMechanism,2,refractory damage | refractory degradation,"Both entities refer to the damage or deterioration of refractory materials, with similar causes and contexts, making them suitable for merging."
Can_5e70001f,steam blanketing,DamageMechanism,2,steam blanketing | steam blanket,"Both entities describe the formation of a steam layer due to disturbed heat flow, indicating they refer to the same concept."
Can_80c1b5fd,tube rupture,FailureEvent,2,tube rupture | tube rupture,"Both entities describe a tube rupture due to short term overheating from steam-related conditions, with minor wording differences."
Can_7b80c7ee,stress,CriticalFactor,2,stress | stress,"Both entities refer to 'stress' as a critical factor affecting materials, with overlapping descriptions related to mechanical load and stress rupture."
Can_f0cef04f,thermal cycling,DamageMechanism,2,thermal cycling | thermal cycling,"Both entities share the same name, type, and similar descriptions related to material fatigue and cracking due to temperature changes."
Can_91d5a261,temperature,CriticalFactor,2,temperature | temperature,"Both entities refer to 'temperature' as a critical factor affecting different physical processes, suggesting they represent the same concept."
Can_9dd97a07,R.D. Port,Author,2,R.D. Port | R.D. Port,"Both entities refer to the same author, R.D. Port, who is associated with different publications."
Can_a84ee6b5,NACE International,Organization,2,National Association of Corrosion Engineers | NACE International,"Both entities refer to the same organization, with 'NACE International' being the current name and 'National Association of Corrosion Engineers' being the former name."
Can_9e62efea,impact testing,InspectionMethod,2,impact testing | impact test verification,"Both entities refer to methods of testing material toughness, with one focusing on the verification aspect. They are closely related and can be merged into a single entity."
Can_ffa752f3,E.F. Ehmke,Author,2,E.F. Ehmke | E.F. Ehmke,"Both entities have the same name, type, and description, indicating they refer to the same person."
Can_062323f3,coker units,ProcessUnit,2,coker units | coker units,"Both entities refer to the same type of refinery units used in oil processing, with overlapping descriptions and identical names, indicating they are the same entity."
Can_42b781ff,reactor,Component,2,reactors | reactor,"Both entities refer to reactors involved in chemical processing and monitoring temper embrittlement, with overlapping descriptions and purposes, suggesting they represent the same concept."
Can_3657b11d,creep cracking,DamageMechanism,2,creep cracking | creep cracking,"Both entities refer to 'creep cracking' as a damage mechanism involving cracking due to creep, with similar contexts and descriptions."
Can_47091bf5,Metallographic Examination,InspectionMethod,2,Metallographic Examination | metallographic examination,Both entities describe the same inspection method focused on microstructural examination using microscopy.
Can_c774f6f6,stress concentrators,MaterialFeature,2,stress concentrators | stress concentrators,"Both entities refer to features that increase stress, with slight variations in description. They can be merged into a single entity with a comprehensive description."
Can_ed9006f4,weld defects,ComponentDefect,2,welds at flaws | weld defects,"Both entities describe defects in welds that can lead to cracking due to stress concentrations, and they share a similar context and implications."
Can_f3fbb790,welds,Component,2,welds | welds,"Both entities refer to welds as joints in alloys with similar susceptibility issues, indicating they are the same concept."
Can_c36b442e,PWHT,Process,2,PWHT | PWHT,"Both entities refer to Post Weld Heat Treatment (PWHT) and describe similar processes and effects, indicating they are the same entity."
Can_69b1a20d,tensile and yield strength,MaterialProperty,2,tensile and yield strength | yield strength,"Both entities describe related mechanical properties of materials, specifically tensile and yield strength, and can be merged into a single entity."
Can_0695d9ea,high temperature ductility,MaterialProperty,2,high temperature ductility | high temperature ductility,"Both entities have the same name and type, and their descriptions are very similar, with the second providing a slightly more detailed explanation."
Can_f6a89afe,Metals Handbook – Desk Edition,Publication,2,Metals Handbook – Desk Edition | Metals Handbook – Desk Edition,"Both entities refer to the same publication by ASM International, with similar names and descriptions that complement each other."
Can_ddf3566f,ASM International,Organization,2,ASM International | ASM International,"Both entities refer to ASM International as a publisher of the same work, and the descriptions are consistent with each other, indicating they are the same entity."
Can_afefe9ae,"Houston, TX",Location,2,"Houston, TX | Houston, TX","Both entities refer to the same geographical location, Houston, TX, and are described in contexts that are not mutually exclusive."
Can_4a69c766,FCC reactor/regenerator systems,ProcessUnit,2,FCC reactors | FCC reactor/regenerator systems,"Both entities refer to components of FCC systems in refineries, with overlapping descriptions and type hints, suggesting they are part of the same system."
Can_8e71fcfa,graphitization,DamageMechanism,2,graphitization | graphitization,"Both entities have the same name, type, and similar descriptions indicating they refer to the same damage mechanism involving graphite formation in steel."
Can_0780e870,elevated temperature,OperatingCondition,2,elevated temperatures | elevated temperature,"Both entities refer to high temperature conditions with similar effects, differing only in specific details, and share the same type hint."
Can_1787ff04,equipment,Component,2,equipment | equipment,"Both entities describe equipment affected by high temperatures and fluid exposure, indicating they refer to the same general concept."
Can_97dc4f6c,stress concentrations,StressFactor,2,stress concentrations | stress concentrations,"Both entities refer to areas of concentrated stress that can lead to material failure, and the descriptions are complementary. The type 'StressFactor' is more specific and appropriate."
Can_dbe98b41,400 Series SS,Material,2,400 Series SS | 400 Series SS,"Both entities refer to the same series of stainless steels with similar properties and issues, such as susceptibility to embrittlement and cavitation."
Can_96903f49,American Petroleum Institute,Organization,2,American Petroleum Institute | American Petroleum Institute,"Both entities have the same name, type, and similar descriptions, indicating they refer to the same organization."
Can_bc5dc76a,June 2001,TemporalQualifier,2,June 2001 | June 2001,"Both entities refer to the same publication date for the same work, 'Microstructural Degradation', and have identical names and type hints."
Can_5eba01e6,300 Series SS,Material,2,300 Series SS | 300 Series SS,"Both entities refer to the same series of stainless steels, sharing the same name and type, with complementary descriptions."
Can_d0089046,Microstructural Degradation,Publication,2,Microstructural Degradation | Microstructural Degradation,"Both entities have the same name, type, and author, indicating they refer to the same publication."
Can_8e044be8,graphitization,DamageMechanism,2,graphitization | graphitization,"Both entities have identical names, descriptions, and type hints, indicating they refer to the same concept."
Can_54b5fc3c,3Cr-1Mo,Material,2,3Cr-1Mo | 3Cr-1Mo,"Both entities refer to the same material, 3Cr-1Mo, a low alloy steel with similar properties described in both entries."
Can_3bc8d339,piping,Component,2,piping | piping,"Both entities refer to piping systems, with descriptions that complement each other regarding different temperature effects."
Can_b2111452,Stanley T. Rolfe,Person,2,Stanley T. Rolfe | S.T. Rolfe,"The names 'Stanley T. Rolfe' and 'S.T. Rolfe' likely refer to the same person, given the similar descriptions and context of authorship."
Can_0b9574f2,intergranular cracking,DamageMechanism,2,intergranular cracking | intergranular cracking,"Both entities refer to the same phenomenon of cracking along grain boundaries, with descriptions that complement each other. The type hint difference can be reconciled as they describe aspects of the same concept."
Can_5dd6c3a1,UCS 66,Regulation,2,UCS 66 | UCS 66,"Both entities refer to 'UCS 66' as a regulation related to impact exemption curves, with slight variations in description that can be combined for a more comprehensive understanding."
Can_cec077b8,A533-B Steel,Material,2,A533-B Steel | A533-B Steel,"Both entities have identical names, descriptions, and type hints, indicating they refer to the same material."
Can_b9f5ba0f,autorefrigeration event,Process,2,autorefrigeration event | autorefrigeration events,"Both entities describe a process involving rapid cooling and potential brittle fracture, with similar names and descriptions."
Can_bef9451a,ASM International,Organization,2,ASM International | ASM International,"Both entities have the same name and type, and their descriptions indicate they refer to the same organization involved in publishing materials science and engineering information."
Can_df1f945b,FCC units,ProcessUnit,2,FCC units | FCC units,"Both entities refer to Fluid Catalytic Cracking units in refineries with overlapping descriptions and the same type hint, indicating they are the same entity."
Can_cc91e969,catalytic reforming units,ProcessUnit,2,catalytic reforming units | catalytic reforming units,"Both entities refer to catalytic reforming units in refineries, describing similar processes and potential issues, indicating they are the same entity."
Can_f0f39843,brittle fracture,FailureEvent,2,brittle fracture | brittle fracture,Both entities refer to the same concept of 'brittle fracture' with similar descriptions. The slight difference in type_hint can be reconciled as they describe the same phenomenon.
Can_7f711d2e,VT,InspectionMethod,2,VT | VT,"Both entities refer to Visual Testing (VT) as an inspection method, with overlapping descriptions indicating they are the same method applied in different contexts."
Can_57f2cd50,differential thermal expansion stresses,DamageMechanism,2,differential thermal expansion stresses | differential thermal expansion,"Both entities describe stresses caused by differential thermal expansion, with one focusing on the stress and the other on the mechanism, making them closely related."
Can_326d03f8,long-seam welds,Component,2,long seam welds | long-seam welds,"Both entities refer to welds along the length of a component, with similar descriptions and type hints, suggesting they are the same entity with slight variations in naming."
Can_7dae1351,creep strength,MaterialProperty,2,creep rupture strength | creep strength,"Both entities describe the material's ability to withstand stress over time at high temperatures, with similar factors affecting them, indicating they refer to the same property."
Can_95f9ce19,microvoid formation,DamageMechanism,2,microvoid formation | microvoid formation,"Both entities describe the formation of small voids in materials and are classified as DamageMechanism, indicating they refer to the same concept."
Can_bcbf140f,sigma phase embrittlement,DamageMechanism,2,sigma phase embrittlement | sigma phase formation,"Both entities describe the embrittlement caused by the formation of sigma phase in stainless steels, focusing on the damage mechanism aspect."
Can_664801a4,API RP 579 Fitness-For-Service,ReferenceDocument,2,API RP 579 | RP 579 Fitness-For-Service,"Both entities refer to the same API standard for Fitness-For-Service assessments, with slight variations in naming."
Can_850643ce,metals and alloys,Material,2,metals and alloys | alloys,"Both entities refer to materials that include metals and alloys, and their descriptions overlap significantly in terms of the factors affecting them."
Can_d6093502,Creep/Stress Rupture,FailureEvent,2,Stress Rupture | creep/stress rupture,"Both entities describe a similar failure mechanism involving stress and high temperature, with overlapping descriptions and concepts."
Can_7d7815e8,creep damage,DamageMechanism,2,creep damage | creep damage,Both entities describe 'creep damage' with similar characteristics related to high temperature and deformation over time.
Can_33a73705,visual inspection,InspectionMethod,2,visual inspection | visual examination,"Both entities refer to a method of inspection involving visual assessment, with similar descriptions and type hints, suggesting they are the same concept."
Can_16f1c953,ASM International,Organization,2,ASM International | ASM International,"Both entities have the same name and type, and their descriptions indicate they refer to the same organization responsible for publishing the ASM Metals Handbook."
Can_cf92af52,graphitization,DamageMechanism,2,graphitization | graphitization,"Both entities have identical names, descriptions, and type hints, indicating they refer to the same concept."
Can_84b7b7cf,Non-Weld Related Graphitization Failures,Publication,2,Non-Weld Related Graphitization Failures | Non-Weld Related Graphitization Failures,"Both entities are publications with identical names and descriptions, indicating they refer to the same paper presented at CORROSION/89."
Can_12841a44,CORROSION/89,Conference,2,CORROSION/89 | CORROSION/89,"Both entities have the same name, type, and description, indicating they refer to the same conference."
Can_30617a83,stress,CriticalFactor,2,stress | stress,"Both entities refer to 'stress' as a critical factor in the graphitization process in steels, with overlapping descriptions and identical type hints, indicating they represent the same concept."
Can_588be23c,Environmental Cracking,DamageMechanism,2,Environment Assisted Cracking | environmental cracking,"Both entities describe a similar damage mechanism involving cracking due to environmental factors, with overlapping descriptions and type hints."
Can_d687000b,VDU,ProcessUnit,2,VDU | VDU,"Both entities refer to the same process unit in refineries, with similar descriptions and identical type hints, indicating they are the same entity."
Can_4f4a4f1a,non-weld graphitization,DamageMechanism,2,non-weld graphitization | non-weld graphitization,"Both entities refer to 'non-weld graphitization' as a damage mechanism in steel, with descriptions that complement each other, indicating they are the same concept."
Can_04bc24cf,"Washington, D.C.",Location,2,"Washington, D.C. | Washington, D.C.","Both entities have the same name, type, and description, indicating they refer to the same location."
Can_8cae5acf,Metallurgical Failures in Fossil Fired Boilers,Publication,2,Metallurgical Failures In Fossil Fired Boilers | Metallurgical Failures in Fossil Fired Boilers,"Both entities refer to the same book by D.N. French with similar descriptions and publication details, differing only slightly in wording and the inclusion of the publication year."
Can_4240f43c,toughness,MaterialProperty,2,toughness | impact toughness,"Both 'toughness' and 'impact toughness' describe the ability of a material to absorb energy and deform without fracturing, indicating they refer to the same property."
Can_2c83f9de,reheat cracking,DamageMechanism,2,reheat cracking | reheat cracking,"Both entities refer to the same damage mechanism, 'reheat cracking', with overlapping descriptions and identical type hints, indicating they are the same concept."
Can_3e9db18c,Departure From Nucleate Boiling (DNB),DamageMechanism,2,Departure From Nucleate Boiling (DNB) | Departure From Nucleate Boiling (DNB),"Both entities describe the same condition with similar descriptions and identical names, indicating they refer to the same concept."
Can_60a8eb23,Ammonium bisulfide,Material,2,NH HS | ammonium bisulfide,"Both entities refer to the same chemical compound, ammonium bisulfide, with consistent descriptions and type hints."
Can_98589739,High Pressure,OperatingCondition,2,HP | high pressure,"Both entities refer to the concept of high pressure in industrial settings, with 'HP' being a common abbreviation for 'high pressure'."
Can_d4cfba75,cavitation damage,DamageMechanism,2,cavitation | cavitation damage,"Both entities describe the same damage mechanism involving vapor bubbles and metal loss, with 'cavitation damage' being a more specific term that encompasses the description of 'cavitation'."
Can_9ab6b118,Brinell hardness number,InspectionMethod,2,Brinnell hardness number | HB,"Both entities refer to the same concept of measuring material hardness, with 'HB' being an abbreviation for 'Brinell hardness number'."
Can_eb06f02d,Hydrogen,Material,2,H | hydrogen,"Both entities refer to the chemical element hydrogen, with consistent descriptions and type hints."
Can_f26c12d1,CDU,ProcessUnit,2,CDU | CDU,"Both entities refer to a crude distillation unit in the refining process, with similar descriptions and the same type hint, indicating they are the same entity."
Can_77dcd014,SOHIC,DamageMechanism,2,SOHIC | SOHIC,"Both entities refer to the same concept of Stress Oriented Hydrogen Induced Cracking, with similar descriptions and identical type hints, indicating they are the same entity."
Can_3e10e653,PFD,ProcessUnit,2,PFD | PFD,"Both entities refer to a 'Process flow diagram' with similar descriptions and type hints, differing only slightly in wording."
Can_63b8fa93,flame impingement,DamageMechanism,2,flame impingement | flame impingement,"Both entities describe the same phenomenon of flame contact causing potential damage, with slight variations in description. They should be merged into a single entity with a comprehensive description."
Can_e3e578e7,random graphitization,DamageMechanism,2,random graphitization | random graphitization,"Both entities describe the same type of graphitization with similar characteristics and effects, indicating they refer to the same concept."
Can_ef12f0c8,chains or local planes of concentrated graphite nodules,DamageMechanism,2,chains or local planes of concentrated graphite nodules | chains or local planes of concentrated graphite nodules,"Both entities describe the same damage mechanism involving concentrated graphite nodules, with similar descriptions and identical names."
Can_9f89fc95,C-0.5Mo,Material,2,C-0.5Mo | C-0.5Mo,"Both entities refer to a type of carbon steel with 0.5% molybdenum, and the descriptions are complementary, indicating they are the same material."
Can_0c841cff,1Cr-0.5Mo,Material,2,1Cr-0.5Mo | 1Cr-0.5Mo,Both entities refer to the same material composition with slight variations in description.
Can_caf93e63,1.25Cr-0.5Mo,Material,2,1.25 Cr-0.5Mo | 1.25Cr-0.5Mo,Both entities refer to the same material composition with slight variations in description.
Can_13f86e47,9Cr-1Mo,Material,2,9Cr-1Mo | 9Cr-1Mo,"Both entities refer to the same material, 9Cr-1Mo, a low alloy steel with similar descriptions and type hints."
Can_80c9dc74,Stress oriented hydrogen induced cracking (SOHIC),DamageMechanism,2,Stress oriented hydrogen induced cracking (SOHIC) | Stress oriented hydrogen induced cracking,"Both entities describe the same damage mechanism with similar descriptions and type hints, differing only in the inclusion of the acronym 'SOHIC'."
Can_a9636ac3,transgranular plastic shear mechanism,DamageMechanism,2,transgranular plastic shear | transgranular plastic shear mechanism,"Both entities describe a similar mechanism involving transgranular plastic shear and internal pressure, with slight variations in wording."
Can_dc5a927e,duplex structure,MetallurgicalStructure,2,duplex structure | duplex,"Both entities refer to a metallurgical structure with a mixed microstructure of austenite and ferrite, and the descriptions are consistent with each other."
Can_8a40bbeb,Phosphorus,Material,2,P | phosphorus,"Both entities refer to the chemical element phosphorus, described as a material with similar properties and implications in metallurgy."
Can_ed706fc2,galvanic corrosion,DamageMechanism,2,galvanic corrosion | galvanic corrosion,"Both entities describe the same corrosion process involving dissimilar metals and zinc, fitting under the same damage mechanism category."
Can_b026e5c8,oxidation,DamageMechanism,2,oxidation | oxidation,"Both entities refer to the same chemical process involving oxygen and have similar descriptions and type hints, indicating they represent the same concept."
Can_9c13920c,clam shell fingerprint,DamageMorphology,2,clam shell fingerprint | beach marks,"Both entities describe the same phenomenon of concentric rings indicating fatigue failure, with 'beach marks' being a component of the 'clam shell fingerprint'."
Can_54115bfa,cyclical loading,OperatingCondition,2,cyclical loading | cyclical stresses,"Both entities describe repeated application of stress over time, contributing to mechanical fatigue, and share the same type hint."
Can_3e142100,Silicon,Material,2,Si | silicon,"Both entities refer to silicon, an element, and their descriptions are complementary."
Can_90239f45,Copper,Material,2,Cu | copper,"Both entities refer to copper, a material, and their descriptions are consistent with each other."
Can_a54c4533,Austenitic,MetallurgicalStructure,2,Austenitic | austenitic,"Both entities describe the same metallurgical structure with similar characteristics and context, differing only in minor details."
Can_ec6b0458,ASME,Organization,2,ASME International | ASME,"Both entities refer to the same organization, ASME, with complementary descriptions that confirm their identity as the American Society of Mechanical Engineers."
Can_af3eb103,American Society for Testing and Materials,Organization,2,American Society for Testing and Materials | American Society for Testing and Materials,"Both entities refer to the same organization with similar names and descriptions, indicating they are the same entity."
Can_8fa4458d,ASTM STP1428,ReferenceMaterial,2,ASTM STP1428 | ASTM STP1428,"Both entities have the same name, description, and are related to ASTM, indicating they refer to the same publication."
Can_cd1ba111,ASTM MNL41,Reference,2,ASTM MNL41 | ASTM MNL41,"Both entities share the same name and type, and their descriptions are similar, indicating they refer to the same publication by ASM International."
Can_f33bc809,Reinforcement Components,Component,2,gussets | stiffeners,"Both entities are components used to reinforce small bore connections, with similar functions and descriptions, suggesting they can be merged into a single entity."
Can_2c4c75ce,Macmillan Press LTD.,Organization,2,Macmillan Press LTD. | Macmillan Press LTD.,"Both entities refer to the same publishing company associated with the book 'Design and Corrosion Control', and the names and descriptions are consistent."
Can_29782af9,fatigue resistance,MaterialProperty,2,fatigue resistance | fatigue resistance,"Both entities have the same name and type, and their descriptions are similar, referring to the ability to withstand cyclic stresses or loading without failure."
Can_804308b5,mechanical fatigue,DamageMechanism,2,mechanical fatigue | mechanical fatigue,"Both entities refer to the same concept of mechanical fatigue caused by cyclic loading, with similar descriptions and identical names."
Can_0e964370,inclusions,MaterialDefect,2,inclusions | inclusions,"Both entities refer to non-metallic particles within metal, described as affecting mechanical properties and potentially accelerating fatigue cracking, indicating they are the same concept."
Can_c387ddaa,ASM International,Organization,2,ASM International | ASM International,"Both entities have identical names, descriptions, and type hints, indicating they refer to the same organization."
Can_b00b8021,bubble dynamics,Process,2,bubble formation | collapsing bubbles,"Both 'bubble formation' and 'collapsing bubbles' describe processes related to vapor bubbles, and can be merged under a broader concept of bubble dynamics."
Can_e0354395,protective films,Material,2,protective films | passive films,"Both entities describe films that protect against corrosion, with 'passive films' being a specific type of 'protective films'."
Can_94ecca05,liquid impingement erosion,DamageMechanism,2,liquid impingement erosion | liquid impingement,"Both entities describe the same damage mechanism involving erosion due to liquid impact, with one being a more specific term for the other."
