canonical_id,canonical_name,member_id,member_name,member_desc,member_type,confidence_score,_cluster_id,resolved_action,resolution_rationale,source_ref
Can_652d24b3,Heat Affected Zone (HAZ),En_a6263bb6,heat affected zone,Area on the ferritic side of a weld where high stress occurs due to thermal expansion.,Component,,130,merged,"All entities refer to the same concept of a zone affected by welding heat, with variations in naming and description details.",
Can_652d24b3,Heat Affected Zone (HAZ),En_49c1ec96,weld heat affected zone,Area of a weld where the microstructure and properties have been altered by welding heat.,Component,,130,merged,"All entities refer to the same concept of a zone affected by welding heat, with variations in naming and description details.",
Can_185b2443,,CanRep_Can_185b2443,internal pressure,"Pressure resulting from hydrogen accumulation, contributing to crack development.",CausalHint,,-1,kept_noise_global,Global noise preserved for manual review,
Can_fd330200,,CanRep_Can_fd330200,martensitic,"A metallurgical structure found in stainless steels, known for its high strength and hardness, typically found in some 400 series stainless steel.",MetallurgicalStructure,,170,kept,"The entity 'martensitic' refers to a metallurgical structure, which is distinct from a specific type of material.",
Can_d2bae0eb,,CanRep_Can_d2bae0eb,Martensitic stainless steel,"A type of stainless steel that includes Types 410, 410S, 416, 420, 440A, 440B, and 440C, known for its martensitic structure and prone to sigma phase formation at elevated temperatures.",Material,,170,kept,"The entity 'Martensitic stainless steel' refers to a specific type of material, which is distinct from the general metallurgical structure 'martensitic'.",
Can_c32c2bf9,,CanRep_Can_c32c2bf9,Methyldiethanolamine (MDEA),"Methyldiethanolamine, a chemical compound used in gas treatment processes to remove hydrogen sulfide and carbon dioxide.",Material,,2,kept,"Methyldiethanolamine (MDEA) is distinct from the other entities, with a unique name and description.",
Can_92f9a9b6,Monoethanolamine (MEA),CanRep_Can_0d719244,Monoethanolamine (MEA),"Monoethanolamine, a chemical compound used in gas treatment and as a building block for detergents.",Material,,2,merged,"Both entities refer to Monoethanolamine (MEA) with similar descriptions and purposes, indicating they are the same chemical compound.",
Can_92f9a9b6,Monoethanolamine (MEA),En_755da59b,MEA,"Monoethanolamine, a chemical used for gas sweetening and carbon dioxide removal.",Material,,2,merged,"Both entities refer to Monoethanolamine (MEA) with similar descriptions and purposes, indicating they are the same chemical compound.",
Can_f2f1c14e,Nickel base alloys,CanRep_Can_78e43615,Nickel base,A family of alloys containing nickel as a major alloying element (>30%).,Material,,75,merged,"Both entities refer to nickel-based alloys with overlapping descriptions and characteristics, suggesting they are the same material category.",
Can_f2f1c14e,Nickel base alloys,CanRep_Can_90723e5f,Nickel base alloys,"Alloys containing nickel, known for high temperature strength, corrosion resistance, and inspectable for cracks using UT and PT methods.",Material,,75,merged,"Both entities refer to nickel-based alloys with overlapping descriptions and characteristics, suggesting they are the same material category.",
Can_a5a03a7f,,CanRep_Can_a5a03a7f,sulfidation,A form of corrosion involving the reaction of a material with sulfur compounds.,DamageMechanism,,-1,kept_noise_global,Global noise preserved for manual review,
Can_cf61553c,Acoustic Emission Testing,CanRep_Can_4862523d,AE,"Acoustic emission, a technique used to monitor the release of energy from materials under stress.",InspectionMethod,,21,merged,"Both entities refer to acoustic emission methods used for inspection, with similar descriptions and purposes.",
Can_cf61553c,Acoustic Emission Testing,CanRep_Can_fabb02e8,AET,"Acoustic emission testing, a method for detecting and locating defects in materials.",InspectionMethod,,21,merged,"Both entities refer to acoustic emission methods used for inspection, with similar descriptions and purposes.",
Can_93187b07,,CanRep_Can_93187b07,AUBT,"Automated ultrasonic backscatter testing, a nondestructive testing method using ultrasonic waves to detect flaws.",InspectionMethod,,21,kept,"AUBT is a distinct method using ultrasonic waves, differing from acoustic emission techniques.",
Can_80f189ac,,CanRep_Can_80f189ac,BFW,"Boiler feed water, water that is fed into a boiler to generate steam.",Material,,9,kept,"The entity 'BFW' refers to 'Boiler feed water', which is a specific type of material.",
Can_647a8ebf,,CanRep_Can_647a8ebf,C2,Chemical symbol referring to ethane or ethylene.,ChemicalSymbol,,14,kept,"C2 is a distinct chemical symbol referring to ethane or ethylene, which is different from the other entities.",
Can_aa6930bb,,CanRep_Can_aa6930bb,C3,Chemical symbol referring to propane or propylene.,ChemicalSymbol,,14,kept,"C3 is a distinct chemical symbol referring to propane or propylene, which is different from the other entities.",
Can_84c913b2,,CanRep_Can_84c913b2,C4,Chemical symbol referring to butane or butylenes.,ChemicalSymbol,,14,kept,"C4 is a distinct chemical symbol referring to butane or butylenes, which is different from the other entities.",
Can_7c1123d8,,CanRep_Can_7c1123d8,CH4,Chemical symbol for methane.,ChemicalSymbol,,14,kept,"CH4 is a distinct chemical symbol for methane, which is different from the other entities.",
Can_38c384ec,,CanRep_Can_38c384ec,CO,"Chemical symbol for both carbon monoxide and carbon dioxide, both colorless gases with distinct properties.",Material,,25,kept,"The entity 'CO' refers to both carbon monoxide and carbon dioxide, and without specific context, it is not safe to merge it with 'carbon dioxide'.",
Can_57e1f6be,Charpy impact test,CanRep_Can_f1ed6270,Charpy V-notch impact test,"A standardized high strain-rate test to determine the amount of energy absorbed by a material during fracture, used to measure impact energy and assess toughness.",InspectionMethod,,120,merged,"All entities refer to the Charpy impact test, a method for assessing material toughness, with slight variations in description but consistent in purpose and type.",
Can_57e1f6be,Charpy impact test,En_4db1b211,Charpy impact testing,"A method to measure the toughness of materials, used to detect shifts in transition temperature.",InspectionMethod,,120,merged,"All entities refer to the Charpy impact test, a method for assessing material toughness, with slight variations in description but consistent in purpose and type.",
Can_57e1f6be,Charpy impact test,En_549d480c,Charpy impact test,Test measuring the fracture toughness of materials by assessing resistance to crack-like flaws.,InspectionMethod,,120,merged,"All entities refer to the Charpy impact test, a method for assessing material toughness, with slight variations in description but consistent in purpose and type.",
Can_c81ede0f,,CanRep_Can_c81ede0f,deisobutanizer,A distillation column used to separate isobutane from other hydrocarbons.,ProcessUnit,,-1,kept_noise_global,Global noise preserved for manual review,
Can_cd9d8669,,CanRep_Can_cd9d8669,Departure From Nucleate Boiling (DNB),"A condition where boiling transitions from nucleate to film boiling, reducing heat transfer efficiency.",OperatingCondition,,97,modified,"The name should be standardized to match the common abbreviation (DNB) used in other entities, while retaining its unique description and type.",
Can_cd076f80,Eddy Current Testing,CanRep_Can_77c59b55,EC,"Eddy current, a test method primarily for non-ferromagnetic materials.",InspectionMethod,,57,merged,"Both entities refer to the same inspection method, Eddy Current Testing, with similar descriptions and type hints.",
Can_cd076f80,Eddy Current Testing,En_989158fa,EC,"Eddy Current Testing, a non-destructive testing method used to detect surface and sub-surface flaws in conductive materials.",InspectionMethod,,57,merged,"Both entities refer to the same inspection method, Eddy Current Testing, with similar descriptions and type hints.",
Can_a1b5b424,,CanRep_Can_a1b5b424,FCC,"Fluid catalytic cracker, a process unit used in refining to convert heavy hydrocarbons into lighter products.",ProcessUnit,,-1,kept_noise_global,Global noise preserved for manual review,
Can_c488325b,,CanRep_Can_c488325b,Field Metallographic Replication,"A technique for examining microstructures in the field, used to detect spheroidization.",InspectionMethod,,92,kept,Field Metallographic Replication is a specific technique distinct from general metallographic examination.,
Can_a060a895,,CanRep_Can_a060a895,water,"Water, a chemical compound with formula H2O, essential for life and used in various industrial applications.",Material,,42,kept,"The entity 'water' is a distinct chemical compound essential for life, separate from 'sour water' and 'sour water stripper'.",
Can_77abea9f,,CanRep_Can_77abea9f,heavy cycle oil,"Heavy cycle oil (HCO), a type of oil used in refining processes and as a feedstock for further processing in refineries.",Material,,29,kept,"Heavy cycle oil is distinct from vacuum gas oils, as it is specifically used in refining processes and as a feedstock.",
Can_8d91f498,,CanRep_Can_8d91f498,HPS,"High pressure separator, a device used in the oil and gas industry to separate fluids at high pressure.",ProcessUnit,,-1,kept_noise_global,Global noise preserved for manual review,
Can_00a8b4ae,,CanRep_Can_00a8b4ae,Heat Stable Amine Salts (HSAS),"Heat stable amine salts, compounds formed in amine treating processes that are resistant to thermal degradation.",Material,,2,kept,"Heat Stable Amine Salts (HSAS) is distinct from the other entities, with a unique name and description.",
Can_56865264,,CanRep_Can_56865264,IP,"Intermediate pressure, a term used to describe a specific range of pressure in industrial systems.",OperatingCondition,,-1,kept_noise_global,Global noise preserved for manual review,
Can_85ea9258,,CanRep_Can_85ea9258,IRIS,"Internal rotating inspection system, a method used for inspecting the internal surfaces of pipes, vessels, and equipment.",InspectionMethod,,-1,kept_noise_global,Global noise preserved for manual review,
Can_1ee341e7,,CanRep_Can_1ee341e7,light coker gas oil,"Light coker gas oil (LCGO), a type of hydrocarbon product derived from the coking process.",Material,,28,kept,"Light coker gas oil (LCGO) and heavy coker gas oil (HCGO) are distinct products derived from the coking process, each with different properties and uses.",
Can_9c44ef74,,CanRep_Can_9c44ef74,LP,"Low pressure, a condition or specification in industrial processes.",OperatingCondition,,61,kept,"LP refers to a condition (low pressure) in industrial processes, distinct from a process unit.",
Can_6e9bd0d6,,CanRep_Can_6e9bd0d6,LPS,"Low pressure separator, a process unit used to separate components at low pressure.",ProcessUnit,,61,kept,"LPS refers to a specific process unit (low pressure separator), which is different from a general operating condition.",
Can_b3e680a3,Magnetic Particle Testing,CanRep_Can_59913a04,MT,"Magnetic Particle Testing, a non-destructive testing method for detecting surface and near-surface defects.",InspectionMethod,,157,merged,"All three entities refer to Magnetic Particle Testing, a method for detecting surface defects, and share similar descriptions and type hints.",
Can_b3e680a3,Magnetic Particle Testing,En_e300b444,MT inspection,Magnetic particle testing method used to detect surface cracks in fired heater tubes.,InspectionMethod,,157,merged,"All three entities refer to Magnetic Particle Testing, a method for detecting surface defects, and share similar descriptions and type hints.",
Can_b3e680a3,Magnetic Particle Testing,En_dcb9b962,MT examination,Magnetic particle testing method for detecting surface cracks in ferromagnetic materials.,InspectionMethod,,157,merged,"All three entities refer to Magnetic Particle Testing, a method for detecting surface defects, and share similar descriptions and type hints.",
Can_b160aa4f,naphthenic acid corrosion,CanRep_Can_737a6f70,NAC,"Naphthenic acid corrosion, a type of corrosion caused by naphthenic acids in crude oil.",DamageMechanism,,68,merged,"Both entities describe the same corrosion mechanism caused by naphthenic acids, with similar descriptions and type hints.",
Can_b160aa4f,naphthenic acid corrosion,En_771c8f3a,naphthenic acid corrosion,"Corrosion caused by naphthenic acids, mitigated by higher molybdenum containing alloys.",DamageMechanism,,68,merged,"Both entities describe the same corrosion mechanism caused by naphthenic acids, with similar descriptions and type hints.",
Can_c3cea812,,CanRep_Can_c3cea812,PMI,"Positive materials identification, a process used to verify the composition of metallic alloys.",InspectionMethod,,-1,kept_noise_global,Global noise preserved for manual review,
Can_73be660e,Penetrant Testing,CanRep_Can_c5006344,PT,"Penetrant Testing, a non-destructive testing method used to detect surface-breaking defects in non-porous materials.",InspectionMethod,,158,merged,"Both entities refer to the same non-destructive testing method, Penetrant Testing, with similar descriptions and type hints.",
Can_73be660e,Penetrant Testing,En_1acc8d36,PT examination,Penetrant testing method used to detect surface cracks in non-ferrous materials.,InspectionMethod,,158,merged,"Both entities refer to the same non-destructive testing method, Penetrant Testing, with similar descriptions and type hints.",
Can_3844ce1f,,CanRep_Can_3844ce1f,RFEC,"Remote field eddy current testing, a technique for detecting flaws in conductive materials.",InspectionMethod,,-1,kept_noise_global,Global noise preserved for manual review,
Can_a9b24aee,RT,CanRep_Can_e506fc48,RT,"Radiographic Testing, a non-destructive testing method using X-rays or gamma rays to inspect the internal structure of materials.",InspectionMethod,,56,merged,"Both entities refer to the same inspection method, Radiographic Testing, with similar descriptions and type hints.",
Can_a9b24aee,RT,En_5e019a19,RT,"Radiographic testing, a non-destructive testing method using X-rays or gamma rays to view the internal structure of a component.",InspectionMethod,,56,merged,"Both entities refer to the same inspection method, Radiographic Testing, with similar descriptions and type hints.",
Can_83d98615,,CanRep_Can_83d98615,sour water,"Water containing hydrogen sulfide and other sulfur compounds, often found in oil and gas processing.",Material,,42,kept,"'Sour water' is a specific type of water containing sulfur compounds, distinct from 'water' and the process unit 'sour water stripper'.",
Can_09d44f87,SWUT,CanRep_Can_bfad8250,SWUT,"Shear wave ultrasonic testing, a non-destructive testing method using shear waves to detect flaws.",InspectionMethod,,55,merged,"Both entities refer to the same inspection method, SWUT, with similar descriptions and type hints, indicating they are the same entity.",
Can_09d44f87,SWUT,En_44a59f0b,SWUT,"Shear Wave Ultrasonic Testing, used to detect internal defects in materials.",InspectionMethod,,55,merged,"Both entities refer to the same inspection method, SWUT, with similar descriptions and type hints, indicating they are the same entity.",
Can_e2ddc9e4,,CanRep_Can_e2ddc9e4,titanium,"A strong, lightweight, corrosion-resistant metal used in various industrial applications.",Material,,79,kept,"The entity 'titanium' is a distinct material with specific properties and uses, separate from any processes it may undergo.",
Can_d0a71d52,Ultrasonic Testing (UT),CanRep_Can_a4b51df3,UT,"Ultrasonic testing, a non-destructive testing technique using high-frequency sound waves to detect internal flaws.",InspectionMethod,,58,merged,"All entities refer to the same non-destructive testing method using ultrasonic waves, with slight variations in description and naming.",
Can_d0a71d52,Ultrasonic Testing (UT),CanRep_Can_a0e756ac,Ultrasonic Testing (UT),Ultrasonic Testing (UT) is a non-destructive method used to detect surface and embedded cracks as well as internal flaws in materials.,InspectionMethod,,58,merged,"All entities refer to the same non-destructive testing method using ultrasonic waves, with slight variations in description and naming.",
Can_d0a71d52,Ultrasonic Testing (UT),En_6ba9490c,UT methods,Ultrasonic testing methods used to detect surface breaking cracks on the ID surface.,InspectionMethod,,58,merged,"All entities refer to the same non-destructive testing method using ultrasonic waves, with slight variations in description and naming.",
Can_7f711d2e,VT,CanRep_Can_efe61990,VT,"Visual Testing, a non-destructive inspection technique used to assess surface conditions.",InspectionMethod,,70,merged,"Both entities refer to Visual Testing (VT) as an inspection method, with overlapping descriptions indicating they are the same method applied in different contexts.",
Can_7f711d2e,VT,En_14df0196,VT,Visual Testing of small diameter piping to detect oscillation or cyclical movement.,InspectionMethod,,70,merged,"Both entities refer to Visual Testing (VT) as an inspection method, with overlapping descriptions indicating they are the same method applied in different contexts.",
Can_61be8afc,,CanRep_Can_61be8afc,WFMT,"Wet Fluorescent Magnetic Particle Testing, a non-destructive testing method for detecting surface and near-surface defects.",InspectionMethod,,-1,kept_noise_global,Global noise preserved for manual review,
Can_6d8f46c3,,CanRep_Can_6d8f46c3,chemistry,"A critical factor affecting the occurrence of graphitization in steels, related to the chemical composition.",CriticalFactor,,-1,kept_noise_global,Global noise preserved for manual review,
Can_6cf8b163,exposure time,CanRep_Can_43a07530,time of exposure,Duration of exposure to conditions that can lead to graphitization in steels.,CriticalFactor,,184,merged,"All entities refer to the duration of exposure to conditions affecting material properties, with similar descriptions and type hints, suggesting they represent the same concept.",
Can_6cf8b163,exposure time,CanRep_Can_032fae0a,time,"Duration of exposure to damaging conditions, influencing time to failure.",CriticalFactor,,184,merged,"All entities refer to the duration of exposure to conditions affecting material properties, with similar descriptions and type hints, suggesting they represent the same concept.",
Can_6cf8b163,exposure time,En_6400f727,exposure time,"The duration for which the metal is exposed to certain conditions, affecting spheroidization.",CriticalFactor,,184,merged,"All entities refer to the duration of exposure to conditions affecting material properties, with similar descriptions and type hints, suggesting they represent the same concept.",
Can_f0f39843,brittle fracture,CanRep_Can_adc6502d,brittle fracture,"A sudden rapid fracture under stress with little or no ductility or plastic deformation, often associated with temper embrittlement or strain aging.",FailureEvent,,235,merged,Both entities refer to the same concept of 'brittle fracture' with similar descriptions. The slight difference in type_hint can be reconciled as they describe the same phenomenon.,
Can_f0f39843,brittle fracture,CanRep_Can_156a2e1a,brittle fracture,Sudden rapid fracture under stress with little or no ductility or plastic deformation.,DamageMechanism,,235,merged,Both entities refer to the same concept of 'brittle fracture' with similar descriptions. The slight difference in type_hint can be reconciled as they describe the same phenomenon.,
Can_df1f945b,FCC units,CanRep_Can_ba88cd46,FCC units,"Fluid Catalytic Cracking units in refineries, susceptible to graphitization and spheroidization in hot-wall components.",ProcessUnit,,114,merged,"Both entities refer to Fluid Catalytic Cracking units in refineries with overlapping descriptions and the same type hint, indicating they are the same entity.",
Can_df1f945b,FCC units,En_7cae332a,FCC units,Fluid catalytic cracking units that may include steam-generating components.,ProcessUnit,,114,merged,"Both entities refer to Fluid Catalytic Cracking units in refineries with overlapping descriptions and the same type hint, indicating they are the same entity.",
Can_cc91e969,catalytic reforming units,CanRep_Can_eeb82195,catalytic reforming units,"Units in refineries where graphitization and spheroidization can affect hot-wall components, used to convert naphtha into high-octane gasoline components.",ProcessUnit,,113,merged,"Both entities refer to catalytic reforming units in refineries, describing similar processes and potential issues, indicating they are the same entity.",
Can_cc91e969,catalytic reforming units,CanRep_Can_8dc6eacf,catalytic reforming units,"Units with potential for temper embrittlement, including reactors and exchangers, where cracking has been found at long seam welds.",ProcessUnit,,113,merged,"Both entities refer to catalytic reforming units in refineries, describing similar processes and potential issues, indicating they are the same entity.",
Can_062323f3,coker units,CanRep_Can_34fe23c1,coker units,"Refinery units where graphitization can affect hot-wall components, used to convert residual oil into lighter hydrocarbons and petroleum coke.",ProcessUnit,,111,merged,"Both entities refer to the same type of refinery units used in oil processing, with overlapping descriptions and identical names, indicating they are the same entity.",
Can_062323f3,coker units,CanRep_Can_2c06c4cc,coker units,"Units used in oil refining, susceptible to spheroidization and temper embrittlement, often involved in heavy oil processing.",ProcessUnit,,111,merged,"Both entities refer to the same type of refinery units used in oil processing, with overlapping descriptions and identical names, indicating they are the same entity.",
Can_4af8a5a8,,CanRep_Can_4af8a5a8,Bainitic grades,"Steel grades with a bainitic microstructure, less susceptible to graphitization compared to coarse pearlitic grades.",Material,,66,kept,Bainitic grades are distinct from coarse pearlitic grades based on their microstructure and susceptibility to graphitization.,
Can_03037f54,,CanRep_Can_03037f54,Coarse pearlitic grades,"Steel grades with a coarse pearlitic microstructure, more susceptible to graphitization compared to bainitic grades.",Material,,66,kept,Coarse pearlitic grades are distinct from bainitic grades based on their microstructure and susceptibility to graphitization.,
Can_42b781ff,reactor,CanRep_Can_b8288b18,reactors,"Vessels used in chemical processing, affected by graphitization and temper embrittlement in various units.",Component,,107,merged,"Both entities refer to reactors involved in chemical processing and monitoring temper embrittlement, with overlapping descriptions and purposes, suggesting they represent the same concept.",
Can_42b781ff,reactor,En_bd56ca91,reactor,A process unit where alloy steel samples are installed for monitoring temper embrittlement.,ProcessUnit,,107,merged,"Both entities refer to reactors involved in chemical processing and monitoring temper embrittlement, with overlapping descriptions and purposes, suggesting they represent the same concept.",
Can_47091bf5,Metallographic Examination,CanRep_Can_b81ae8c2,Metallographic Examination,"A technique for observing microstructural changes, such as graphitization and sigma phase embrittlement, not visible to the naked eye.",InspectionMethod,,92,merged,Both entities describe the same inspection method focused on microstructural examination using microscopy.,
Can_47091bf5,Metallographic Examination,CanRep_Can_8919636f,metallographic examination,The study of the microstructure of metals using microscopy to confirm damage.,InspectionMethod,,92,merged,Both entities describe the same inspection method focused on microstructural examination using microscopy.,
Can_8b0ed054,,CanRep_Can_8b0ed054,spheroidization,"A microstructural change in steels where carbides transform into a spheroidal form, reducing strength and creep resistance.",DamageMechanism,,-1,kept_noise_global,Global noise preserved for manual review,
Can_308d24a0,,CanRep_Can_308d24a0,creep deformation,"Time-dependent deformation of metal components under stress at high temperatures, leading to potential surface breaking cracks and diametric growth.",DamageMechanism,,206,kept,"Creep deformation is a distinct damage mechanism involving time-dependent deformation under stress, different from material properties like strength or resistance.",
Can_e3a50eea,,CanRep_Can_e3a50eea,R. Viswanathan,Author of studies on graphitization of steels and damage mechanisms in high temperature components.,Author,,31,kept,"R. Viswanathan is described as an author with specific studies attributed to him, indicating a distinct individual entity.",
Can_e107e5d5,,CanRep_Can_e107e5d5,First International Symposium: Microstructures and Mechanical Properties of Aging Materials,A conference where research on graphitization of steels was presented in November 1992.,Event,,-1,kept_noise_global,Global noise preserved for manual review,
Can_9dd97a07,R.D. Port,CanRep_Can_35a1e3b8,R.D. Port,Author of the paper 'Non-Weld Related Graphitization Failures' presented at CORROSION/89.,Author,,105,merged,"Both entities refer to the same author, R.D. Port, who is associated with different publications.",
Can_9dd97a07,R.D. Port,CanRep_Can_0b19e171,R.D. Port,"Co-author of 'The NALCO Guide To Boiler Failure Analysis,' published by McGraw Hill.",Author,,105,merged,"Both entities refer to the same author, R.D. Port, who is associated with different publications.",
Can_aa5902d1,,CanRep_Can_aa5902d1,"Materials Park, OH","Location of ASM International, the publisher of various editions of the Metals Handbook.",Location,,-1,kept_noise_global,Global noise preserved for manual review,
Can_b089edf9,,CanRep_Can_b089edf9,The National Board of Boiler and Pressure Vessel Inspectors,"An organization involved in the inspection of boilers and pressure vessels, associated with the publication of 'Microstructural Degradation'.",Organization,,60,kept,"This entity represents the organization itself, which is distinct from its website.",
Can_9575a342,,CanRep_Can_9575a342,stress-rupture properties,"Mechanical properties of materials under stress over time, indicating the ability to withstand stress without rupturing, affected by graphitization in steel.",MaterialProperty,,-1,kept_noise_global,Global noise preserved for manual review,
Can_7151ca9c,,CanRep_Can_7151ca9c,"WRC Bulletin Series, No.32",Publication where Joseph G. Wilson's study on graphitization was featured.,Publication,,51,kept,"This entity is a specific publication with a unique number and description, distinct from the others.",
Can_2d8fb481,,CanRep_Can_2d8fb481,loss in strength,"A reduction in the mechanical strength of steel due to spheroidization, potentially up to 30%.",Symptom,,-1,kept_noise_global,Global noise preserved for manual review,
Can_4c8416e0,,CanRep_Can_4c8416e0,fired heater tubes,Tubes in fired heaters that are susceptible to various forms of damage including creep and require inspection.,Component,,98,kept,"This entity specifically refers to tubes in fired heaters, which is distinct from other types of heater tubes.",
Can_a84ee6b5,NACE International,CanRep_Can_6c52c4de,National Association of Corrosion Engineers,"Organization associated with corrosion engineering standards, publications, and conferences.",Organization,,63,merged,"Both entities refer to the same organization, with 'NACE International' being the current name and 'National Association of Corrosion Engineers' being the former name.",
Can_a84ee6b5,NACE International,CanRep_Can_adb85ce9,NACE International,"An organization involved in the publication of various corrosion-related materials, including 'Corrosion Control in the Chemical Process Industries' and 'Materials Selection for Refineries and Associated Facilities'.",Organization,,63,merged,"Both entities refer to the same organization, with 'NACE International' being the current name and 'National Association of Corrosion Engineers' being the former name.",
Can_4a7a1cd6,,CanRep_Can_4a7a1cd6,temper embrittlement,"Reduction in toughness due to metallurgical changes in low alloy steels after long-term exposure to certain temperatures, often leading to brittle fracture.",DamageMechanism,,202,kept,"Temper embrittlement is a specific type of embrittlement related to metallurgical changes in low alloy steels, distinct from other forms.",
Can_c35558d2,"startup, shutdown, and transient conditions",CanRep_Can_b38cff39,"start-up, shutdown, and transient conditions",Operational phases and conditions where temper embrittled equipment is at risk of brittle fracture and toughness is affected.,OperatingCondition,,40,merged,"These entities describe overlapping operational phases with similar risks related to embrittlement and temperature changes, suggesting they refer to the same or closely related concepts.",
Can_c35558d2,"startup, shutdown, and transient conditions",CanRep_Can_cc222a28,startup and shutdown,Operational phases that increase susceptibility to thermal fatigue due to temperature changes.,OperationalConstraint,,40,merged,"These entities describe overlapping operational phases with similar risks related to embrittlement and temperature changes, suggesting they refer to the same or closely related concepts.",
Can_c35558d2,"startup, shutdown, and transient conditions",En_b62d8ccc,startup phase,"An operational phase when equipment is brought online, during which embrittlement effects are more pronounced.",OperatingCondition,,40,merged,"These entities describe overlapping operational phases with similar risks related to embrittlement and temperature changes, suggesting they refer to the same or closely related concepts.",
Can_c35558d2,"startup, shutdown, and transient conditions",En_35dfeb3f,shutdown phase,"An operational phase when equipment is taken offline, during which embrittlement effects are more pronounced.",OperatingCondition,,40,merged,"These entities describe overlapping operational phases with similar risks related to embrittlement and temperature changes, suggesting they refer to the same or closely related concepts.",
