"entity_id","entity_name","entity_description","entity_type_hint","entity_confidence","entity_resolution_context","entity_flag","class_id","class_label","class_group","chunk_ids","node_properties"
"En_12453875","butterfly egg shape","Morphological forms of butterfly eggs such as round, cylindrical, or oval.","IntrinsicProperty","0.88","The size, shape, and color of butterfly eggs vary depending on the species. Some eggs are round, while others are cylindrical or oval.","entity_raw","ClsC_a90782df","Butterfly egg morphology traits","Butterfly Life Cycle and Reproduction","[""Ch_000002""]","[]"
"En_931c36ef","butterfly egg color","Observed colors of butterfly eggs, including white, yellow, green, and brown.","IntrinsicProperty","0.86","The size, shape, and color of butterfly eggs vary depending on the species. They can be white, yellow, green, or brown.","entity_raw","ClsC_a90782df","Butterfly egg morphology traits","Butterfly Life Cycle and Reproduction","[""Ch_000002""]","[]"
"En_b7e8c0a2","nectar","A sugary liquid in flowers that serves as a food source for adult butterflies.","Material","0.96","Adult butterflies feed on nectar from flowers using their long, tubular mouthparts called proboscis. This identifies nectar as the primary nutritional substance obtained from flowers by adult butterflies.","entity_raw","ClsC_9a8ddbba","Butterfly Adult Feeding Biology","Butterfly Biology & Life Cycle","[""Ch_000006""]","[]"
"En_8a47e478","proboscis","The long, tubular mouthparts adult butterflies use to feed on nectar.","Component","0.99","Adult butterflies feed on nectar from flowers using their long, tubular mouthparts called proboscis. This names the specialized feeding structure used by adult butterflies to access nectar inside flowers.","entity_raw","ClsC_9a8ddbba","Butterfly Adult Feeding Biology","Butterfly Biology & Life Cycle","[""Ch_000006""]","[]"
"En_edbab226","feeding on leaves","Primary caterpillar activity of consuming plant leaves for nutrition.","Behavior","0.93","Caterpillars are voracious eaters and spend most of their time feeding on leaves and growing rapidly.","entity_raw","ClsC_92e225e0","Caterpillar Leaf-Feeding Behavior","Lepidopteran Plant Interactions & Habitat","[""Ch_000002""]","[]"
"Can_c8b3267a","the supernatural","Phenomena or entities believed to exist beyond normal scientific understanding, frequently referenced in explanatory stories and urban legends.","Concept","0.96","All three refer to the same abstract concept of phenomena beyond scientific understanding, differing only by article or wording.","entity_raw","ClsC_68508fdd","Supernatural Concepts","Supernatural & Paranormal Domain","[]","[]"
"Can_f19c2f39","the unknown","Broad concept of unexplained or mysterious aspects of reality that provoke curiosity and fear, often addressed in stories and folklore.","Concept","0.92","All three mentions share the same phrase, type, and closely aligned descriptions about mysterious, unexplained aspects of reality in the context of urban legends.","entity_raw","ClsC_68508fdd","Supernatural Concepts","Supernatural & Paranormal Domain","[""Ch_000010"", ""Ch_000012"", ""Ch_000015""]","[]"
"En_ef1ddbe3","paranormal","Events or phenomena that appear beyond normal experience or scientific explanation, associated with legends and hauntings.","Concept","0.94","Another common theme in urban legends is the supernatural or paranormal. Stories of haunted houses, ghostly apparitions, and mysterious creatures have captivated audiences for generations.","entity_raw","ClsC_68508fdd","Supernatural Concepts","Supernatural & Paranormal Domain","[""Ch_000012""]","[]"
"En_1dd5c0bc","existence of the supernatural","The question of whether supernatural phenomena are real in listeners’ lives.","Concept","0.93","These tales often blur the line between fact and fiction, leaving listeners to wonder about the existence of the supernatural in their own lives.","entity_raw","ClsC_68508fdd","Supernatural Concepts","Supernatural & Paranormal Domain","[""Ch_000012""]","[]"
"En_25310b6e","tales of the supernatural and the unknown","Stories focusing on supernatural phenomena and unexplained or mysterious events.","Concept","0.93","In conclusion, urban legends have been a fascinating aspect of modern folklore for centuries, captivating audiences with their tales of the supernatural and the unknown.","entity_raw","ClsC_d3aea1db","Supernatural Narratives","Supernatural & Paranormal Domain","[""Ch_000015""]","[]"
"En_90dc77e5","mysteries to be solved","Unresolved questions or unexplained events that inspire continued creation of urban legends.","Concept","0.86","As long as there are mysteries to be solved and fears to be faced, urban legends will continue to thrive in the collective imagination of society.","entity_raw","ClsC_d3aea1db","Supernatural Narratives","Supernatural & Paranormal Domain","[""Ch_000015""]","[]"
"Can_5156a5ee","haunted houses","Houses or locations believed to be inhabited or influenced by ghosts or supernatural entities, frequently depicted as dangerous settings in urban legends and folklore.","Location","0.97","All three mentions share the same name, very similar descriptions, and identical type, clearly referring to the general concept of haunted houses in urban legends.","entity_raw","ClsC_16232585","Supernatural Phenomena and Manifestations","Supernatural & Paranormal Domain","[]","[]"
"Can_cd810348","mysterious creatures","Unusual, unidentified, or supernatural beings that appear as central figures in many legends and urban myths, often evoking fear and curiosity.","Phenomenon","0.96","Both mentions share the exact same name, type, and highly similar descriptions of unexplained beings in legends.","entity_raw","ClsC_16232585","Supernatural Phenomena and Manifestations","Supernatural & Paranormal Domain","[]","[]"
"En_c0b6da09","ghostly apparitions","Visual manifestations of ghosts or spirits, commonly described in supernatural stories and legends.","Phenomenon","0.97","Stories of haunted houses, ghostly apparitions, and mysterious creatures have captivated audiences for generations. These tales often blur the line between fact and fiction, leaving listeners to wonder about the existence of the supernatural in their own lives.","entity_raw","ClsC_16232585","Supernatural Phenomena and Manifestations","Supernatural & Paranormal Domain","[""Ch_000012""]","[]"
"En_f72754d2","cursed objects","Objects believed to carry a curse, bringing misfortune or danger to those who encounter them.","Object","0.96","Stories of strangers luring children with candy, haunted houses with dark pasts, and cursed objects warn listeners about the dangers that lurk in the world around them.","entity_raw","ClsC_16232585","Supernatural Phenomena and Manifestations","Supernatural & Paranormal Domain","[""Ch_000013""]","[]"
"Can_95454d35","butterfly wings","The flight-enabling appendages of a butterfly that develop during metamorphosis and must expand and harden before enabling flight.","Component","0.96","Both mentions refer to the same anatomical structure—wings of a butterfly—described at different points in development but clearly the same component.","entity_raw","ClsC_5a5ed473","Butterfly Wing Anatomy","Butterfly Metamorphosis, Anatomy, and Experiential States","[""Ch_000005"", ""Ch_000006""]","[]"
"En_ec926b39","fluid pumping into wings","Process by which a butterfly circulates fluid into its wings to expand and harden them.","Process","0.9","The newly emerged butterfly has soft, wrinkled wings that it must pump full of fluid to expand and harden. This indicates a specific physiological process involving fluid movement into the wings.","entity_raw","ClsC_0289e8be","Butterfly Emergence Processes","Butterfly Metamorphosis, Anatomy, and Experiential States","[""Ch_000005""]","[]"
"En_895aab62","first flight","The initial act of flying that a butterfly performs after its wings develop.","Process","0.9","Once its wings are fully developed, the butterfly is ready to take flight for the first time. This describes a distinct event in the butterfly’s adult life when it first flies after completing wing development.","entity_raw","ClsC_0289e8be","Butterfly Emergence Processes","Butterfly Metamorphosis, Anatomy, and Experiential States","[""Ch_000006""]","[]"
"En_6925a761","balance of plant populations","Ecological state where plant species abundances are maintained, influenced by caterpillars.","Condition","0.88","Despite their small size, caterpillars are essential to the ecosystem as they play a crucial role in pollination and maintaining the balance of plant populations. This phrase indicates a stable ecological condition that caterpillars help sustain.","entity_raw","ClsC_883a75f2","Ecological State Variables","Ecology and Ecosystems","[""Ch_000003""]","[]"
"En_0a72995a","biodiversity","The variety and variability of living organisms and ecological complexes within an ecosystem to which butterflies contribute.","EcologicalConcept","0.93","Butterflies also serve as a food source for birds, reptiles, and other insects, contributing to the overall biodiversity of their ecosystem. Biodiversity here denotes the richness and variety of organisms within that ecosystem.","entity_raw","ClsC_883a75f2","Ecological State Variables","Ecology and Ecosystems","[""Ch_000006""]","[]"
"En_d3f49663","facial recognition technology","AI-based technology that identifies or verifies individuals using their facial features.","Component","0.98","For example, facial recognition technology can be used for surveillance purposes, raising questions about the right to privacy and the potential for abuse of power by governments or corporations.","entity_raw","ClsC_01330fd0","AI Surveillance Technologies","Artificial Intelligence Technologies & Applications","[""Ch_000017""]","[]"
"En_960e1bbe","governments","Public authorities that may deploy AI and surveillance technologies.","Organization","0.95","For example, facial recognition technology can be used for surveillance purposes, raising questions about the right to privacy and the potential for abuse of power by governments or corporations.","entity_raw","ClsC_2a41b464","AI Institutional Actors (Governments & Corporations)","AI Institutional & Corporate Power Actors","[""Ch_000017""]","[]"
"En_ad2a7d77","corporations","Private-sector organizations that may develop or use AI technologies, including facial recognition.","Organization","0.95","For example, facial recognition technology can be used for surveillance purposes, raising questions about the right to privacy and the potential for abuse of power by governments or corporations.","entity_raw","ClsC_2a41b464","AI Institutional Actors (Governments & Corporations)","AI Institutional & Corporate Power Actors","[""Ch_000017""]","[]"
"En_93b27f7a","discriminatory outcomes","Unfair or unequal results produced by AI systems against certain individuals or groups.","FailureEvent","0.97","AI systems are only as good as the data they are trained on, and if this data is biased or incomplete, it can lead to discriminatory outcomes.","entity_raw","ClsC_446932f3","Discriminatory Treatment","AI Fairness, Bias & Data","[""Ch_000017""]","[]"
"En_981f0165","biased algorithms","Algorithms whose design or training data leads to systematically unfair or discriminatory outcomes.","DamageMechanism","0.96","For example, biased algorithms in hiring processes can perpetuate discrimination based on race, gender, or other factors. Addressing bias in AI systems is crucial to ensuring fairness and equity in decision-making processes.","entity_raw","ClsC_dda92042","Algorithmic Bias","AI Fairness, Bias & Data","[""Ch_000018""]","[]"
"En_e24497ac","discrimination","Unjust or prejudicial treatment of individuals or groups based on protected characteristics.","FailureEvent","0.95","For example, biased algorithms in hiring processes can perpetuate discrimination based on race, gender, or other factors.","entity_raw","ClsC_446932f3","Discriminatory Treatment","AI Fairness, Bias & Data","[""Ch_000018""]","[]"
"En_aefbfcea","race","A protected demographic characteristic often associated with discriminatory treatment in decisions.","Attribute","0.94","For example, biased algorithms in hiring processes can perpetuate discrimination based on race, gender, or other factors.","entity_raw","ClsC_f28cb1bb","Protected Characteristics","AI Fairness, Bias & Data","[""Ch_000018""]","[]"
"En_341fc99b","gender","A protected demographic characteristic frequently implicated in biased or unequal treatment.","Attribute","0.94","For example, biased algorithms in hiring processes can perpetuate discrimination based on race, gender, or other factors.","entity_raw","ClsC_f28cb1bb","Protected Characteristics","AI Fairness, Bias & Data","[""Ch_000018""]","[]"
"En_233d0bd9","training data","Data used to train AI systems, determining their performance and behavior.","DataAsset","0.93","AI systems are only as good as the data they are trained on, and if this data is biased or incomplete, it can lead to discriminatory outcomes.","entity_raw","ClsR_ba04aa82","AI Data Assets","AI Fairness, Bias & Data","[""Ch_000017""]","[]"
"En_9bc351d3","biased data","Training data containing systematic prejudice or skew, leading to unfair AI behavior.","DataAsset","0.96","AI systems are only as good as the data they are trained on, and if this data is biased or incomplete, it can lead to discriminatory outcomes.","entity_raw","ClsC_7d013e67","Problematic Training Data","AI Fairness, Bias & Data","[""Ch_000017""]","[]"
"En_34e84e77","incomplete data","Training data that lacks sufficient or representative information about the target population or domain.","DataAsset","0.92","AI systems are only as good as the data they are trained on, and if this data is biased or incomplete, it can lead to discriminatory outcomes.","entity_raw","ClsC_7d013e67","Problematic Training Data","AI Fairness, Bias & Data","[""Ch_000017""]","[]"
"Can_6920b11a","cautionary tales","Stories intended to warn audiences about risks, dangers, or undesirable behaviors, often by depicting negative consequences.","Concept","0.96","Both mentions share the same name, type, and closely aligned descriptions in the same thematic context of urban legends.","entity_raw","ClsC_8bffd2e0","Cautionary Urban Legends","Cautionary Urban Legends","[""Ch_000012"", ""Ch_000015""]","[]"
"En_1a731e82","dangers","Various threats, harms, or risks portrayed as lurking in the world in cautionary urban legends.","Concept","0.9","Stories of strangers luring children with candy, haunted houses with dark pasts, and cursed objects warn listeners about the dangers that lurk in the world around them.","entity_raw","ClsC_8bffd2e0","Cautionary Urban Legends","Cautionary Urban Legends","[""Ch_000013""]","[]"
"En_ad1ae942","strangers","Unfamiliar adults depicted as potential predators who attempt to lure children in urban legend stories.","Actor","0.94","Stories of strangers luring children with candy, haunted houses with dark pasts, and cursed objects warn listeners about the dangers that lurk in the world around them.","entity_raw","ClsC_1ff99f88","Predatory Strangers in Cautionary Urban Legends","Cautionary Urban Legends","[""Ch_000013""]","[]"
"En_582f9d8e","dark pasts","Troubling or violent histories associated with haunted houses in these urban legend descriptions.","Condition","0.87","Stories of strangers luring children with candy, haunted houses with dark pasts, and cursed objects warn listeners about the dangers that lurk in the world around them.","entity_raw","ClsC_feb94b4d","Supernatural Threat Backstories","Supernatural & Paranormal Domain","[""Ch_000013""]","[]"
"En_8c9e41c7","advancements in technology","Improvements in technological capabilities and tools that enable faster and broader dissemination of information, including urban legends.","Process","0.93","The spread of urban legends has been greatly facilitated by advancements in technology and communication.","entity_raw","ClsC_819ac234","Information Dissemination Processes","Story & Information Dissemination Mechanisms","[""Ch_000013""]","[]"
"En_58983a7b","communication","Means of transmitting information, identified as enabling faster spread of urban legends.","Process","0.9","The spread of urban legends has been greatly facilitated by advancements in technology and communication.","entity_raw","ClsC_819ac234","Information Dissemination Processes","Story & Information Dissemination Mechanisms","[""Ch_000013""]","[]"
"En_68993b38","rapid transmission of information","The fast spread and sharing of information enabled by modern communication channels.","Process","0.92","This rapid transmission of information has led to the proliferation of urban legends in popular culture, as they are shared and reshared across various platforms and mediums.","entity_raw","ClsC_819ac234","Information Dissemination Processes","Story & Information Dissemination Mechanisms","[""Ch_000014""]","[]"
"En_2947a53c","internet","Global digital network described as a medium that accelerates sharing of stories and legends.","Environment","0.96","In the age of the internet and social media, stories can be shared and disseminated at lightning speed, reaching a global audience in a matter of seconds.","entity_raw","ClsC_4cf0bc03","Digital & Networked Communication Media","Story & Information Dissemination Mechanisms","[""Ch_000013""]","[]"
"En_81fef881","social media","Online platforms that allow rapid, wide dissemination of urban legend stories.","Environment","0.96","In the age of the internet and social media, stories can be shared and disseminated at lightning speed, reaching a global audience in a matter of seconds.","entity_raw","ClsC_4cf0bc03","Digital & Networked Communication Media","Story & Information Dissemination Mechanisms","[""Ch_000013""]","[]"
"En_1255f05d","communication platforms and media","Various online and offline communication channels and media used to share stories and information, such as websites, apps, and broadcast media.","Component","0.86","This rapid transmission of information has led to the proliferation of urban legends in popular culture, as they are shared and reshared across various platforms and mediums.","entity_raw","ClsC_4cf0bc03","Digital & Networked Communication Media","Story & Information Dissemination Mechanisms","[""Ch_000014""]","[]"
"En_5420c77a","corporations","Large business organizations that may control powerful AI technologies and resources.","Organization","0.9","They also raise concerns about job displacement, inequality, and the concentration of power in the hands of a few corporations. It is essential to consider the broader societal implications of AI technologies and work towards ensuring that their development is guided by ethical principles.","entity_raw","ClsC_5df9057e","AI Corporate Power Holders","AI Institutional & Corporate Power Actors","[""Ch_000020""]","[]"
"Can_6d842f51","right to privacy","The legal and moral rights of individuals to keep their personal information and activities private and to control access to their personal data.","EthicalPrinciple","0.96","Both mentions describe individuals' privacy rights as the right to privacy, focusing on control over personal information and framed as an ethical-legal principle.","entity_raw","ClsC_7aefe6ac","Privacy Rights","AI Ethics: Privacy and Transparency","[]","[]"
"Can_38441217","privacy","An ethical concern and conceptual issue regarding the protection of personal and sensitive information in the context of AI technologies.","Concept","0.99","Both mentions use the same name 'privacy' in the same AI-ethics context and describe it as an ethical issue about protection of personal information, differing only slightly in type_hint wording.","entity_raw","ClsC_7aefe6ac","Privacy Rights","AI Ethics: Privacy and Transparency","[]","[]"
"En_e91614e9","oral storytelling","The practice of sharing tales verbally and passing them between generations.","Process","0.93","These tales were often shared orally, passed down from one generation to the next, and evolved over time to suit the interests and fears of different cultures.","entity_raw","ClsC_87a787d2","Story Transmission & Evolution Processes","Story & Information Dissemination Mechanisms","[""Ch_000010""]","[]"
"En_1444e894","intergenerational transmission of tales","Passing stories from one generation to the next within a culture.","Process","0.9","These tales were often shared orally, passed down from one generation to the next, and evolved over time to suit the interests and fears of different cultures.","entity_raw","ClsC_87a787d2","Story Transmission & Evolution Processes","Story & Information Dissemination Mechanisms","[""Ch_000010""]","[]"
"En_bd8000e3","evolution of tales","The gradual change and adaptation of stories over time.","Process","0.88","These tales were often shared orally, passed down from one generation to the next, and evolved over time to suit the interests and fears of different cultures.","entity_raw","ClsC_87a787d2","Story Transmission & Evolution Processes","Story & Information Dissemination Mechanisms","[""Ch_000010""]","[]"
"En_686f75cf","cultural groups","Distinct cultural groups whose shared interests and fears shape urban legends.","SocialGroup","0.88","These tales were often shared orally, passed down from one generation to the next, and evolved over time to suit the interests and fears of different cultures.","entity_raw","ClsC_c5cf3150","Cultural Groups Shaping Legends","Urban Legends Sociocultural Context","[""Ch_000010""]","[]"
"Can_c1751366","explanations for AI decisions and processes","Human-understandable justifications and descriptions of how AI systems make decisions and execute internal processes, used to improve transparency, trust, and accountability.","MitigationAction","0.96","Both entities describe providing human-understandable explanations of how AI systems make decisions and operate, differing only in whether they emphasize decisions or internal processes.","entity_raw","ClsC_890d54c4","AI Decision Explainability","AI Transparency & Explainability","[]","[]"
"En_560ba8c4","AI system decisions","Outputs or choices produced by AI systems in response to inputs or situations.","Event","0.9","As AI systems become more complex and opaque, it can be challenging to understand how they arrive at their decisions.","entity_raw","ClsC_890d54c4","AI Decision Explainability","AI Transparency & Explainability","[""Ch_000019""]","[]"
"Can_36886a98","transparency in AI systems","The degree to which AI systems’ processes and decision logic are open, understandable, and explainable to stakeholders, used both as a general property and as a design practice to enhance trust and accountability.","Concept","0.98","Both entities share the same name and describe the same underlying idea of making AI systems understandable, differing only in framing (general concept vs mitigation action).","entity_raw","ClsC_75828e8c","AI System Transparency","AI Transparency & Explainability","[]","[]"
"En_4658a580","distrust in AI systems","Skepticism or lack of confidence among users or stakeholders toward AI systems.","Symptom","0.94","Lack of transparency can lead to distrust in AI systems and hinder their acceptance and adoption.","entity_raw","ClsC_2cd5b2d8","Trust in AI Systems","TBD","[""Ch_000019""]","[]"
"En_7a0d326e","trust in AI systems","Confidence that AI systems will behave reliably and as intended.","Concept","0.95","Ensuring transparency in AI systems, including providing explanations for their decisions and processes, is essential to building trust and ensuring accountability.","entity_raw","ClsC_2cd5b2d8","Trust in AI Systems","TBD","[""Ch_000019""]","[]"
"En_f182ba96","acceptance of AI systems","The willingness of individuals or organizations to use or embrace AI systems.","Condition","0.88","Lack of transparency can lead to distrust in AI systems and hinder their acceptance and adoption.","entity_raw","ClsC_0682ec86","AI System Uptake","TBD","[""Ch_000019""]","[]"
"En_682f30cf","adoption of AI systems","The process by which AI systems are integrated into regular use by users or institutions.","Process","0.88","Lack of transparency can lead to distrust in AI systems and hinder their acceptance and adoption.","entity_raw","ClsC_0682ec86","AI System Uptake","TBD","[""Ch_000019""]","[]"
"Can_d2ad650f","ethical guidelines","Explicit normative rules and principles intended to govern the responsible development and deployment of AI technologies.","MitigationAction","0.97","Both mentions refer to the same concept of explicit rules for responsible AI development in the same document context, with nearly identical meanings and type hints.","entity_raw","ClsC_da406864","AI Ethics Norms","AI Ethics & Governance","[""Ch_000019"", ""Ch_000021""]","[]"
"En_8bdcb18c","ethical principles","Moral guidelines intended to shape how AI technologies are developed and used.","Concept","0.96","It is essential to consider the broader societal implications of AI technologies and work towards ensuring that their development is guided by ethical principles that prioritize the well-being of individuals and communities.","entity_raw","ClsC_da406864","AI Ethics Norms","AI Ethics & Governance","[""Ch_000020""]","[]"
"En_3fa5be25","responsible and ethical manner","A mode of developing and deploying AI that adheres to ethical principles and responsibility.","OperatingCondition","0.86","Addressing issues related to privacy, bias, accountability, transparency, and societal impact is essential to ensure that AI technologies are developed and deployed in a responsible and ethical manner.","entity_raw","ClsC_da406864","AI Ethics Norms","AI Ethics & Governance","[""Ch_000021""]","[]"
"Can_35f75da6","society","The broader social collective or society as a whole that is impacted by AI systems and their deployment.","Environment","0.9","Both mentions refer to the same collective social environment affected by AI, differing only in wording ('society as a whole' vs. 'society').","entity_raw","ClsC_81c254c4","AI Social Stakeholders & Communities","AI Social Stakeholders & Society","[]","[]"
"En_e326b183","well-being of individuals and communities","Overall health, welfare, and quality of life for people and social groups affected by AI.","Concept","0.95","It is essential to consider the broader societal implications of AI technologies and work towards ensuring that their development is guided by ethical principles that prioritize the well-being of individuals and communities.","entity_raw","ClsC_81c254c4","AI Social Stakeholders & Communities","AI Social Stakeholders & Society","[""Ch_000020""]","[]"
"En_c7cdbd8a","communities","Groups of people or societies collectively impacted by AI technologies.","Actor","0.9","It is essential to consider the broader societal implications of AI technologies and work towards ensuring that their development is guided by ethical principles that prioritize the well-being of individuals and communities.","entity_raw","ClsC_81c254c4","AI Social Stakeholders & Communities","AI Social Stakeholders & Society","[""Ch_000020""]","[]"
"Can_1db56857","metamorphosis","Transformation process in which a caterpillar's body reorganizes inside the chrysalis and develops into an adult butterfly.","Process","0.99","Both mentions describe the same biological transformation of a caterpillar into a butterfly within the chrysalis and share the same name and process type.","entity_raw","ClsC_0b13f1f3","Butterfly Metamorphosis Processes","Butterfly Metamorphosis, Anatomy, and Experiential States","[""Ch_000004"", ""Ch_000005""]","[]"
"En_e1203c31","astonishing transformations","Remarkable morphological and developmental changes occurring across butterfly life stages.","Process","0.86","In conclusion, the life cycle of a butterfly is a wondrous journey filled with intricate stages and astonishing transformations. This phrase summarizes major developmental changes, including metamorphosis, that occur between stages.","entity_raw","ClsC_0b13f1f3","Butterfly Metamorphosis Processes","Butterfly Metamorphosis, Anatomy, and Experiential States","[""Ch_000007""]","[]"
"Can_c45dd68a","AI technologies","Technological systems, tools, and applications that use artificial intelligence methods and algorithms and are deployed across industries and daily life.","Technology","0.99","All three refer to the same concrete AI-based technological systems and applications in society, differing only in minor wording and type hints.","entity_raw","ClsC_48eeb186","Artificial Intelligence Technologies","Artificial Intelligence Technologies & Applications","[]","[]"
"En_b2346235","Artificial Intelligence","A rapidly advancing technological field that is revolutionizing industries and daily life.","Technology","0.99","The chunk states that ""Artificial Intelligence (AI) has rapidly advanced in recent years, revolutionizing various industries and aspects of our daily lives."" This clearly identifies Artificial Intelligence as the core technology being discussed.","entity_raw","ClsC_48eeb186","Artificial Intelligence Technologies","Artificial Intelligence Technologies & Applications","[""Ch_000016""]","[]"
"Can_048be6b8","development of AI technologies","The processes and activities involved in researching, designing, building, training, and improving artificial intelligence technologies and applications, including their preparation for deployment.","Process","0.96","Both refer to the same general process of creating AI technologies, differing only in wording and granularity.","entity_raw","ClsC_885caf33","AI Technology Lifecycle Processes","TBD","[]","[]"
"Can_f7dea021","deployment of AI technologies","The process of releasing, integrating, and using AI technologies in real-world applications and environments.","Process","0.94","Both describe the same lifecycle stage where AI technologies are put into real-world use, with nearly identical phrasing and context.","entity_raw","ClsC_885caf33","AI Technology Lifecycle Processes","TBD","[]","[]"
"En_f7876192","butterfly species","Distinct taxonomic species of butterflies whose traits, such as lifespan, can vary among them.","Taxon","0.89","Adult butterflies have a relatively short lifespan, ranging from a few days to a few weeks, depending on the species. Here, 'species' refers to different taxonomic kinds of butterflies with varying life history traits.","entity_raw","ClsC_8b9ae141","Butterfly species","Butterfly Biology & Life Cycle","[""Ch_000007""]","[]"
"En_a4953476","communities","Groups of people, in both large and small settings, among whom urban legends are shared.","SocialGroup","0.88","urban legends take on a life of their own as they are shared and retold in communities both large and small.","entity_raw","ClsC_133710e4","Urban Legend Communities","Urban Legends Sociocultural Context","[""Ch_000009""]","[]"
"En_49ed08d4","communities","Groups of people sharing and transmitting urban legends to promote mutual protection.","Actor","0.94","By sharing these tales, communities can come together to protect themselves and their loved ones from perceived threats, real or imagined.","entity_raw","ClsC_133710e4","Urban Legend Communities","Urban Legends Sociocultural Context","[""Ch_000013""]","[]"
"Can_8ff0b203","Hook Man (urban legend)","A famous modern urban legend about a murderous figure with a hook for a hand, told in many narrative versions worldwide.","Concept","0.97","All three refer to the same underlying urban legend (the Hook Man story), differing only in phrasing (the legend, its various forms, and its figure) within the same narrative context.","entity_raw","ClsC_852a09f4","Hook Man Urban Legend (Concept)","Urban Legend: Hook Man","[]","[]"
"En_3ce00e1c","story specifics of the Hook Man legend","The variable narrative details and plot elements within different versions of the Hook Man urban legend.","Concept","0.82","While the specifics of the story may vary, the underlying fear of the unknown and the threat of danger remain constant in urban legends like the ""Hook Man.","entity_raw","ClsC_852a09f4","Hook Man Urban Legend (Concept)","Urban Legend: Hook Man","[""Ch_000011""]","[]"
"En_5f18ecaa","interconnected societies","Societies linked through trade and travel, facilitating the spread of legends.","Environment","0.87","As societies became more interconnected through trade and travel, urban legends began to spread across regions and continents, taking on new forms and variations.","entity_raw","ClsC_52c9e43a","Cross-Cultural Connectivity Mechanisms","Story & Information Dissemination Mechanisms","[""Ch_000010""]","[]"
"En_a7ed01c0","trade","Exchange of goods and services that contributes to cross-cultural contact.","Process","0.86","As societies became more interconnected through trade and travel, urban legends began to spread across regions and continents, taking on new forms and variations.","entity_raw","ClsC_52c9e43a","Cross-Cultural Connectivity Mechanisms","Story & Information Dissemination Mechanisms","[""Ch_000010""]","[]"
