canonical_id,canonical_name,canonical_type,n_members,member_sample,rationale
Can_4c8416e0,,,6,CanRep_Can_4c8416e0 | En_9579085a | En_af45bdbe | En_24bd757f | En_ae4d9555 | En_73fc8cd6,
Can_a84ee6b5,NACE International,Organization,2,CanRep_Can_6c52c4de | CanRep_Can_adb85ce9,"Both entities refer to the same organization, with 'NACE International' being the current name and 'National Association of Corrosion Engineers' being the former name."
Can_4a7a1cd6,,,10,CanRep_Can_4a7a1cd6 | En_ef3479b8 | En_e9375e9a | En_a151616e | En_080bbd94 | En_773c3ff0 | En_834b752a | En_b07a5965 | En_035614a2 | En_b2c16b67,
Can_c35558d2,"startup, shutdown, and transient conditions",OperatingCondition,5,CanRep_Can_b38cff39 | CanRep_Can_cc222a28 | En_b62d8ccc | En_35dfeb3f | En_fb3b5377,"These entities describe overlapping operational phases with similar risks related to embrittlement and temperature changes, suggesting they refer to the same or closely related concepts."
Can_92c85bb3,,,3,CanRep_Can_92c85bb3 | En_ff4d9163 | En_1bc0090d,
Can_9e62efea,impact testing,InspectionMethod,2,CanRep_Can_dd6d0752 | En_3fc14a93,"Both entities refer to methods of testing material toughness, with one focusing on the verification aspect. They are closely related and can be merged into a single entity."
Can_27c5bd0d,,,3,CanRep_Can_27c5bd0d | En_1ea26af3 | En_ffff6f61,
Can_ffa752f3,E.F. Ehmke,Author,2,CanRep_Can_1774bb7b | En_0b8c20c1,"Both entities have the same name, type, and description, indicating they refer to the same person."
Can_8c8bd433,,,4,CanRep_Can_8c8bd433 | En_b4146ee9 | En_d20e3650 | En_cdfbb849,
Can_738bd02b,,,3,CanRep_Can_738bd02b | En_0b6089fd | En_74579f13,
Can_209f6852,,,6,CanRep_Can_209f6852 | En_66978a98 | En_4cce6a0e | En_6b210be6 | En_9e7e819f | En_e3dba54e,
Can_ed9aa4e9,,,3,CanRep_Can_ed9aa4e9 | En_02ee6220 | En_207dcb36,
Can_573e2144,,,4,CanRep_Can_573e2144 | En_74ed1ef3 | En_3bde9e8a | En_0b7d7e55,
Can_96903f49,American Petroleum Institute,Organization,2,CanRep_Can_f055795b | CanRep_Can_0500ba43,"Both entities have the same name, type, and similar descriptions, indicating they refer to the same organization."
Can_0f02c77a,,,3,CanRep_Can_0f02c77a | En_f15f444b | En_476f08d9,
Can_e0b400fd,,,5,CanRep_Can_e0b400fd | En_8806772e | En_f70adf3e | En_32c1bc39 | En_30b0d2cb,
Can_0d36ebb6,,,3,CanRep_Can_0d36ebb6 | En_263e5bd9 | En_b1208068,
Can_85e22b6c,,,3,CanRep_Can_85e22b6c | En_46708ccd | En_bc2c7be7,
Can_8c1184f4,,,6,CanRep_Can_8c1184f4 | En_c6d64778 | En_1c701604 | En_fd0bc758 | En_5f12f091 | En_27864461,
Can_dbe98b41,400 Series SS,Material,2,CanRep_Can_f71a8500 | En_ac4ee47a,"Both entities refer to the same series of stainless steels with similar properties and issues, such as susceptibility to embrittlement and cavitation."
Can_5eba01e6,300 Series SS,Material,2,CanRep_Can_524115e2 | En_c98840be,"Both entities refer to the same series of stainless steels, sharing the same name and type, with complementary descriptions."
Can_4835db2e,,,3,CanRep_Can_4835db2e | En_26558f64 | En_f976df51,
Can_7eae7320,,,3,CanRep_Can_7eae7320 | En_6d110476 | En_edc72b5c,
Can_88f0a4bd,,,3,CanRep_Can_88f0a4bd | En_5c2a6eda | En_30630b46,
Can_bcbf140f,sigma phase embrittlement,DamageMechanism,2,CanRep_Can_391c156b | CanRep_Can_110a0063,"Both entities describe the embrittlement caused by the formation of sigma phase in stainless steels, focusing on the damage mechanism aspect."
Can_367d518e,,,3,CanRep_Can_367d518e | En_903684ed | En_75c74c76,
Can_6ece2282,,,3,CanRep_Can_6ece2282 | En_7eac3c7e | En_54276ec8,
Can_97c14473,,,3,CanRep_Can_97c14473 | En_dc00586c | En_73d72c48,
Can_dddb0601,,,4,CanRep_Can_dddb0601 | En_12425254 | En_35277f7f | En_3e972d05,
Can_664801a4,API RP 579 Fitness-For-Service,ReferenceDocument,2,CanRep_Can_2a0267df | En_34a9026b,"Both entities refer to the same API standard for Fitness-For-Service assessments, with slight variations in naming."
Can_b6085d8a,,,3,CanRep_Can_b6085d8a | En_088197e6 | En_db138123,
Can_d6093502,Creep/Stress Rupture,FailureEvent,2,CanRep_Can_e9bd9ad6 | En_c7ad7807,"Both entities describe a similar failure mechanism involving stress and high temperature, with overlapping descriptions and concepts."
Can_850643ce,metals and alloys,Material,2,CanRep_Can_87e7a050 | En_8fa17f4b,"Both entities refer to materials that include metals and alloys, and their descriptions overlap significantly in terms of the factors affecting them."
Can_78a19e95,,,3,CanRep_Can_78a19e95 | En_e25abd81 | En_b27ec50d,
Can_99c5cd3c,,,3,CanRep_Can_99c5cd3c | En_6c2953cb | En_c1584e26,
Can_7d7815e8,creep damage,DamageMechanism,2,CanRep_Can_9cbb178e | En_af4561b3,Both entities describe 'creep damage' with similar characteristics related to high temperature and deformation over time.
Can_f21093b1,,,4,CanRep_Can_f21093b1 | En_04374997 | En_8a62cb0f | En_7cdb8252,
Can_050548b6,bulging,Symptom,3,CanRep_Can_9ae196d6 | En_45bd7c0f | En_e622a8e5,"All three entities describe 'bulging' as a deformation of tubes with similar causes and implications, fitting the same symptom category."
Can_62914c2a,,,3,CanRep_Can_62914c2a | En_1b714957 | En_81852466,
Can_33a73705,visual inspection,InspectionMethod,2,CanRep_Can_7eaec38c | En_c922d077,"Both entities refer to a method of inspection involving visual assessment, with similar descriptions and type hints, suggesting they are the same concept."
Can_2c83f9de,reheat cracking,DamageMechanism,2,CanRep_Can_9d8b7dec | CanRep_Can_dc939b87,"Both entities refer to the same damage mechanism, 'reheat cracking', with overlapping descriptions and identical type hints, indicating they are the same concept."
Can_04bc24cf,"Washington, D.C.",Location,2,CanRep_Can_d03cc077 | CanRep_Can_0c83c7dd,"Both entities have the same name, type, and description, indicating they refer to the same location."
Can_588d106c,,,4,CanRep_Can_588d106c | En_baa05733 | En_661e2e21 | En_dbc3ac28,
Can_e114efd4,,,4,CanRep_Can_e114efd4 | En_4358b898 | En_541c0b77 | En_5ddb07d1,
Can_5510533d,,,5,CanRep_Can_5510533d | En_88653857 | En_aa3e3708 | En_2455476a | En_b887fb6c,
Can_2d5f0bab,,,6,CanRep_Can_2d5f0bab | En_81cafcde | En_0f978d9b | En_c1d362e9 | En_5839162e | En_f4b84a74,
Can_ec2fa4cb,,,6,CanRep_Can_ec2fa4cb | En_42056de4 | En_f993fb27 | En_b9ea9858 | En_7f070bf8 | En_30f9c8bb,
Can_97fd737b,,,4,CanRep_Can_97fd737b | En_b4b70483 | En_fb6e9b00 | En_7f3b3f57,
Can_1b20cb44,,,5,CanRep_Can_1b20cb44 | En_780c2248 | En_d5d58b55 | En_95f5ee25 | En_d67ed2da,
Can_8cae5acf,Metallurgical Failures in Fossil Fired Boilers,Publication,2,CanRep_Can_9c27b868 | CanRep_Can_7e1efbd8,"Both entities refer to the same book by D.N. French with similar descriptions and publication details, differing only slightly in wording and the inclusion of the publication year."
Can_3767bbb3,,,6,CanRep_Can_3767bbb3 | En_a7d33f13 | En_6da3835d | En_4c6c5eed | En_97bb23df | En_4ee0e0f7,
Can_652c592d,,,5,CanRep_Can_652c592d | En_fedc7e79 | En_38ebba81 | En_e9ea5d8c | En_3f21d4e3,
Can_ba94681a,,,5,CanRep_Can_ba94681a | En_543abac0 | En_9dc01e2d | En_68edfda8 | En_1275d8ea,
Can_443bdcf0,,,5,CanRep_Can_443bdcf0 | En_c9032c75 | En_a343f527 | En_ecd251a7 | En_ae7578c1,
Can_63b8fa93,flame impingement,DamageMechanism,2,CanRep_Can_399be121 | CanRep_Can_4946bbb1,"Both entities describe the same phenomenon of flame contact causing potential damage, with slight variations in description. They should be merged into a single entity with a comprehensive description."
Can_60b56c55,,,3,CanRep_Can_60b56c55 | En_ddc14ad4 | En_8479e2e7,
Can_3e9db18c,Departure From Nucleate Boiling (DNB),DamageMechanism,2,CanRep_Can_38c2affc | CanRep_Can_f7bb7d31,"Both entities describe the same condition with similar descriptions and identical names, indicating they refer to the same concept."
Can_e4466a83,,,4,CanRep_Can_e4466a83 | En_bbe06d7a | En_dbbe0ae8 | En_8f86fa9c,
Can_537d312b,,,5,CanRep_Can_537d312b | En_c8042117 | En_a9009179 | En_92e245f2 | En_1fc06f6f,
Can_cae26199,,,3,CanRep_Can_cae26199 | En_c31dcdd0 | En_7896c576,
Can_ea3fc779,,,3,CanRep_Can_ea3fc779 | En_4da16de6 | En_8bf81e2f,
Can_6c4e028f,,,4,CanRep_Can_6c4e028f | En_e8050451 | En_352deb79 | En_f9ad5d74,
Can_c5532421,,,3,CanRep_Can_c5532421 | En_95a0c784 | En_1e93fc7d,
Can_3ca6bc03,,,3,CanRep_Can_3ca6bc03 | En_7f62bfa8 | En_a310a83d,
Can_d4cfba75,cavitation damage,DamageMechanism,2,CanRep_Can_61be4209 | CanRep_Can_06cb5c43,"Both entities describe the same damage mechanism involving vapor bubbles and metal loss, with 'cavitation damage' being a more specific term that encompasses the description of 'cavitation'."
Can_4b80163c,design modification,MitigationAction,3,CanRep_Can_8e351d54 | CanRep_Can_232e75f8 | En_d9ea1dc9,"These entities all describe changes to design or mechanical components to prevent damage, fitting under a broader concept of design modification."
Can_eb750d8c,,,3,CanRep_Can_eb750d8c | En_833bb9e4 | En_e1e447f3,
Can_8616b4e1,,,6,CanRep_Can_8616b4e1 | En_79f6cbcd | En_afc25137 | En_830a48d3 | En_dd484ac9 | En_581c1b59,
Can_4240f43c,toughness,MaterialProperty,2,CanRep_Can_8bcdc757 | En_5dc4bbd1,"Both 'toughness' and 'impact toughness' describe the ability of a material to absorb energy and deform without fracturing, indicating they refer to the same property."
Can_0f5d098a,,,3,CanRep_Can_0f5d098a | En_d3f75a00 | En_bb634c85,
Can_546bfd23,,,3,CanRep_Can_546bfd23 | En_2d925a41 | En_a1632806,
Can_7162025c,,,3,CanRep_Can_7162025c | En_24d19aac | En_c04e0680,
Can_da41dd41,,,5,CanRep_Can_da41dd41 | En_549b0603 | En_e1da7182 | En_6c35a7bf | En_eb820609,
Can_54115bfa,cyclical loading,OperatingCondition,2,CanRep_Can_bad47f0e | En_9ac9c60e,"Both entities describe repeated application of stress over time, contributing to mechanical fatigue, and share the same type hint."
Can_1d77bf37,,,4,CanRep_Can_1d77bf37 | En_be587cdd | En_7973dde9 | En_a6534810,
Can_9c13920c,clam shell fingerprint,DamageMorphology,2,CanRep_Can_415e339c | En_fea9096c,"Both entities describe the same phenomenon of concentric rings indicating fatigue failure, with 'beach marks' being a component of the 'clam shell fingerprint'."
Can_02c9534a,,,5,CanRep_Can_02c9534a | En_4c0357c0 | En_c660fc18 | En_add8fad5 | En_6e4bc43c,
Can_972ba58d,,,3,CanRep_Can_972ba58d | En_88439a2c | En_94a0bb96,
Can_c64c8dfc,,,3,CanRep_Can_c64c8dfc | En_a4729b4b | En_a71d4745,
Can_a5046b2b,,,3,CanRep_Can_a5046b2b | En_3ef4edfa | En_b2579ae3,
Can_b026e5c8,oxidation,DamageMechanism,2,CanRep_Can_78879b78 | En_7846dab4,"Both entities refer to the same chemical process involving oxygen and have similar descriptions and type hints, indicating they represent the same concept."
Can_b9483f19,,,3,CanRep_Can_b9483f19 | En_fd921f9b | En_9ecdd8f8,
Can_ed706fc2,galvanic corrosion,DamageMechanism,2,CanRep_Can_9c9ae279 | En_c3ada8f1,"Both entities describe the same corrosion process involving dissimilar metals and zinc, fitting under the same damage mechanism category."
Can_e46dca96,,,3,CanRep_Can_e46dca96 | En_8544ee49 | En_e1103355,
Can_a752f80b,,,3,CanRep_Can_a752f80b | En_65bbbebe | En_5916b361,
Can_ec6b0458,ASME,Organization,2,En_794c3b4d | En_574f479f,"Both entities refer to the same organization, ASME, with complementary descriptions that confirm their identity as the American Society of Mechanical Engineers."
Can_a54c4533,Austenitic,MetallurgicalStructure,2,En_8b79df00 | En_7f84b35b,"Both entities describe the same metallurgical structure with similar characteristics and context, differing only in minor details."
Can_90239f45,Copper,Material,2,En_90c474b1 | En_2556896f,"Both entities refer to copper, a material, and their descriptions are consistent with each other."
Can_3e142100,Silicon,Material,2,En_f19a4857 | En_7d98eb04,"Both entities refer to silicon, an element, and their descriptions are complementary."
Can_8a40bbeb,Phosphorus,Material,2,En_5a1e9f7c | En_ab6d6f0e,"Both entities refer to the chemical element phosphorus, described as a material with similar properties and implications in metallurgy."
Can_dc5a927e,duplex structure,MetallurgicalStructure,2,En_f61ee068 | En_7fb444b2,"Both entities refer to a metallurgical structure with a mixed microstructure of austenite and ferrite, and the descriptions are consistent with each other."
Can_e7cdea48,Hydrogen Induced Cracking (HIC),DamageMechanism,4,En_46dbf69e | En_d5d5ccaf | En_01670a35 | En_2090f5e7,"All entities describe the same damage mechanism involving hydrogen-induced cracking in metals, with slight variations in description but consistent in type and context."
Can_a9636ac3,transgranular plastic shear mechanism,DamageMechanism,2,En_02274862 | En_d21b9e33,"Both entities describe a similar mechanism involving transgranular plastic shear and internal pressure, with slight variations in wording."
Can_9f89fc95,C-0.5Mo,Material,2,En_81e8d3f0 | En_02595a7b,"Both entities refer to a type of carbon steel with 0.5% molybdenum, and the descriptions are complementary, indicating they are the same material."
Can_0c841cff,1Cr-0.5Mo,Material,2,En_5099c113 | En_cc491df3,Both entities refer to the same material composition with slight variations in description.
Can_caf93e63,1.25Cr-0.5Mo,Material,2,En_0ea5b358 | En_fd8f039e,Both entities refer to the same material composition with slight variations in description.
Can_13f86e47,9Cr-1Mo,Material,2,En_edca3fdb | En_f3ba1f2e,"Both entities refer to the same material, 9Cr-1Mo, a low alloy steel with similar descriptions and type hints."
Can_80c9dc74,Stress oriented hydrogen induced cracking (SOHIC),DamageMechanism,2,En_0598d241 | En_ffc33bd3,"Both entities describe the same damage mechanism with similar descriptions and type hints, differing only in the inclusion of the acronym 'SOHIC'."
Can_2b85c594,Stainless Steel,Material,4,En_ff6064f1 | En_6a7c2a32 | En_ee3ea32c | En_a2430095,"All entities refer to stainless steel, a corrosion-resistant alloy, with descriptions that overlap significantly in terms of composition and characteristics."
Can_f26c12d1,CDU,ProcessUnit,2,En_4abe69ca | En_9838eb83,"Both entities refer to a crude distillation unit in the refining process, with similar descriptions and the same type hint, indicating they are the same entity."
Can_eb06f02d,Hydrogen,Material,2,En_cd883370 | En_768b1d7c,"Both entities refer to the chemical element hydrogen, with consistent descriptions and type hints."
Can_9ab6b118,Brinell hardness number,InspectionMethod,2,En_0ea4c3dd | En_0e163506,"Both entities refer to the same concept of measuring material hardness, with 'HB' being an abbreviation for 'Brinell hardness number'."
Can_98589739,High Pressure,OperatingCondition,2,En_b1e83e5a | En_66e52423,"Both entities refer to the concept of high pressure in industrial settings, with 'HP' being a common abbreviation for 'high pressure'."
Can_60a8eb23,Ammonium bisulfide,Material,2,En_9d104d15 | En_c9814b95,"Both entities refer to the same chemical compound, ammonium bisulfide, with consistent descriptions and type hints."
Can_3e10e653,PFD,ProcessUnit,2,En_e30992e7 | En_047de87c,"Both entities refer to a 'Process flow diagram' with similar descriptions and type hints, differing only slightly in wording."
Can_77dcd014,SOHIC,DamageMechanism,2,En_5661c0c4 | En_fad6fa84,"Both entities refer to the same concept of Stress Oriented Hydrogen Induced Cracking, with similar descriptions and identical type hints, indicating they are the same entity."
Can_d687000b,VDU,ProcessUnit,2,En_63440223 | En_007cdc0e,"Both entities refer to the same process unit in refineries, with similar descriptions and identical type hints, indicating they are the same entity."
Can_588be23c,Environmental Cracking,DamageMechanism,2,En_36fb4077 | En_20daf79c,"Both entities describe a similar damage mechanism involving cracking due to environmental factors, with overlapping descriptions and type hints."
Can_30617a83,stress,CriticalFactor,2,En_57edcddf | En_4936ba25,"Both entities refer to 'stress' as a critical factor in the graphitization process in steels, with overlapping descriptions and identical type hints, indicating they represent the same concept."
Can_0b5f14fd,temperature,CriticalFactor,3,En_87ad8d99 | En_9373e4ad | En_7f969065,"These entities share the same name, type, and similar descriptions related to their influence on graphitization and spheroidization in steels."
Can_35683d76,graphitization,DamageMechanism,5,En_050cfd72 | En_905a7c88 | En_164c08be | En_dd297d4c | En_7e2c5d55,"All these entities describe the same damage mechanism involving the formation of graphite in steel, affecting its properties and leading to potential failures."
Can_e3e578e7,random graphitization,DamageMechanism,2,En_bbd0c4e3 | En_b8f1cf3c,"Both entities describe the same type of graphitization with similar characteristics and effects, indicating they refer to the same concept."
Can_ef12f0c8,chains or local planes of concentrated graphite nodules,DamageMechanism,2,En_d9c3eea1 | En_1be47837,"Both entities describe the same damage mechanism involving concentrated graphite nodules, with similar descriptions and identical names."
Can_6c719733,heat affected zone graphitization,DamageMechanism,3,En_2fa2939a | En_2db2dd6b | En_7d1f6545,"All entities describe the same damage mechanism involving graphitization in the heat-affected zone of welds, with similar descriptions and type hints."
Can_4f4a4f1a,non-weld graphitization,DamageMechanism,2,En_43d9f590 | En_3148da09,"Both entities refer to 'non-weld graphitization' as a damage mechanism in steel, with descriptions that complement each other, indicating they are the same concept."
Can_a1f38d34,eyebrow graphitization,DamageMechanism,3,En_335ebb64 | En_f671f715 | En_6f223043,"All entities share the same name and type, and their descriptions refer to the same phenomenon of graphite formation in heat affected zones, with slight variations in wording."
Can_ae2f431c,hot-wall piping,Component,3,En_84a1c5d3 | En_ac952d8c | En_43701025,"All entities refer to piping that operates at high temperatures and are used in similar industrial contexts, with slight variations in description that complement each other."
Can_7dae1351,creep strength,MaterialProperty,2,En_be20b8c2 | En_7e0ab9ad,"Both entities describe the material's ability to withstand stress over time at high temperatures, with similar factors affecting them, indicating they refer to the same property."
