canonical_id,canonical_name,canonical_type,n_members,example_members
Can_9c27b868,Metallurgical Failures In Fossil Fired Boilers,Publication,4,Metallurgical Failures In Fossil Fired Boilers | Metallurgical Failures In Fossil Fired Boilers | Metallurgical Failures In Fossil Fired Boilers | Metallurgical Failures in Fossil Fired Boilers
Can_9d8b7dec,reheat cracking,DamageMechanism,4,reheat cracking | reheat cracking | reheat cracking | reheat cracking
Can_da41dd41,fatigue cracking,DamageMechanism,4,fatigue cracking | fatigue cracking | fatigue cracking | fatigue cracking
Can_02c9534a,vibration-induced fatigue,DamageMechanism,4,vibration induced fatigue | vibration-induced fatigue | vibration-induced fatigue | vibration-induced fatigue
Can_a5a03a7f,sulfidation,DamageMechanism,3,sulfidation | sulfidation | sulfidation
Can_d16df8a6,British Standard 7910,Standard,3,BSI 7910 | British Standard 7910 | British Standard 7910
Can_0d719244,Monoethanolamine (MEA),Material,3,Monoethanolamine (MEA) | Monoethanolamine (MEA) | MEA
Can_f1ed6270,Charpy V-notch impact test,InspectionMethod,3,CVN | charpy v-notch | Charpy V-notch impact test
Can_d2bae0eb,Martensitic stainless steel,Material,3,martensitic stainless steel | Martensitic stainless steel | martensitic stainless steels
Can_c32c2bf9,Methyldiethanolamine (MDEA),Material,3,Methyldiethanolamine (MDEA) | MDEA | MDEA
