canonical_id,canonical_name,member_id,member_name,member_desc,member_type,confidence_score,_cluster_id,resolved_action,resolution_rationale
Can_7ebf73bc,2.25Cr-1Mo steel,En_6cb05021,2-1/4 Cr-1Mo Steel,A type of alloy steel used in heavy wall pressure vessels for high temperature and pressure service.,Material,0.9,88,merged,"These entities all refer to 2.25Cr-1Mo steel, a low alloy steel used in similar applications and affected by similar issues like temper embrittlement."
Can_e1e3db1c,Austenitic stainless steels,En_2c11f1f5,Austenitic stainless steels,"300 Series stainless steels including Types 304, 304L, 304H, 309, 310, 316, 316L, 316H, 321, 321H, 347, and 347H.",Material,0.95,7,merged,"These entities all refer to austenitic stainless steels, characterized by their austenitic structure and high corrosion resistance, and include references to the 300 Series."
Can_e1e3db1c,Austenitic stainless steels,En_1467cb1b,austenitic stainless steels,"Stainless steels with an austenitic structure, can form sigma phase when exposed to high temperatures.",Material,0.9,7,merged,"These entities all refer to austenitic stainless steels, characterized by their austenitic structure and high corrosion resistance, and include references to the 300 Series."
Can_e1e3db1c,Austenitic stainless steels,En_d8e1a100,austenitic stainless steels,A type of stainless steel known for its high corrosion resistance and ability to form sigma phase.,Material,0.9,7,merged,"These entities all refer to austenitic stainless steels, characterized by their austenitic structure and high corrosion resistance, and include references to the 300 Series."
Can_e1e3db1c,Austenitic stainless steels,En_83cc9bb4,austenitic stainless steels,300 Series stainless steels that are welded to ferritic materials in DMWs.,Material,0.9,7,merged,"These entities all refer to austenitic stainless steels, characterized by their austenitic structure and high corrosion resistance, and include references to the 300 Series."
Can_e1e3db1c,Austenitic stainless steels,En_aefa8dc4,austenitic stainless steels,A type of stainless steel known for its corrosion resistance and lack of endurance limit.,Material,0.9,7,merged,"These entities all refer to austenitic stainless steels, characterized by their austenitic structure and high corrosion resistance, and include references to the 300 Series."
Can_e1e3db1c,Austenitic stainless steels,En_9e73941c,Austenitic Stainless Steels,A category of stainless steels known for their corrosion resistance and high temperature strength.,Material,0.9,7,merged,"These entities all refer to austenitic stainless steels, characterized by their austenitic structure and high corrosion resistance, and include references to the 300 Series."
Can_357dfd70,Carbon steels,En_da807057,Carbon steel,Steels that do not have alloying elements intentionally added.,Material,0.95,69,merged,"All these entities refer to carbon steels, which are primarily composed of carbon and are susceptible to various metallurgical changes. The descriptions and contexts provided indicate they are variations or aspects of the same material type."
Can_357dfd70,Carbon steels,En_a053dede,carbon steels,"A type of steel affected by graphitization, especially after long-term exposure to high temperatures.",Material,0.9,69,merged,"All these entities refer to carbon steels, which are primarily composed of carbon and are susceptible to various metallurgical changes. The descriptions and contexts provided indicate they are variations or aspects of the same material type."
Can_357dfd70,Carbon steels,En_1f985b9e,carbon steels,"Steels primarily composed of carbon, susceptible to spheroidization at high temperatures.",Material,0.9,69,merged,"All these entities refer to carbon steels, which are primarily composed of carbon and are susceptible to various metallurgical changes. The descriptions and contexts provided indicate they are variations or aspects of the same material type."
Can_357dfd70,Carbon steels,En_a77a62b8,carbon steels,"Older vintage carbon steels, particularly those with a large grain size, affected by strain aging.",Material,0.9,69,merged,"All these entities refer to carbon steels, which are primarily composed of carbon and are susceptible to various metallurgical changes. The descriptions and contexts provided indicate they are variations or aspects of the same material type."
Can_357dfd70,Carbon steels,En_9fd9462d,carbon steels,"A type of steel that is primarily composed of iron and carbon, susceptible to brittle fracture.",Material,0.9,69,merged,"All these entities refer to carbon steels, which are primarily composed of carbon and are susceptible to various metallurgical changes. The descriptions and contexts provided indicate they are variations or aspects of the same material type."
Can_357dfd70,Carbon steels,En_16bf22dd,carbon steel,"A type of steel affected by steam blanketing, leading to potential damage.",Material,0.9,69,merged,"All these entities refer to carbon steels, which are primarily composed of carbon and are susceptible to various metallurgical changes. The descriptions and contexts provided indicate they are variations or aspects of the same material type."
Can_6cd89512,Aluminum,En_0351b17e,Al,"Aluminum, an element found in small quantities in certain steels.",Material,0.9,62,merged,"All three entities refer to aluminum as a material, with overlapping descriptions about its properties and uses."
Can_6cd89512,Aluminum,En_cdf9f803,aluminum,"Element used to fully deoxidize steel, reducing susceptibility to strain aging.",Material,0.9,62,merged,"All three entities refer to aluminum as a material, with overlapping descriptions about its properties and uses."
Can_6cd89512,Aluminum,En_4b0e533d,aluminum,"A lightweight, corrosion-resistant metal that lacks an endurance limit.",Material,0.9,62,merged,"All three entities refer to aluminum as a material, with overlapping descriptions about its properties and uses."
Can_7d83f9cd,Diethanolamine (DEA),En_ec8a5387,Diethanolamine (DEA),A chemical used in amine treating to remove H2S and CO2 from hydrocarbon streams.,Material,0.95,24,merged,"Both entities refer to Diethanolamine, used in amine treating, with consistent descriptions and type hints."
Can_7d83f9cd,Diethanolamine (DEA),En_9a8fd9d2,DEA,"Diethanolamine, used in amine treating to remove H2S and CO2 from hydrocarbon streams.",Material,0.95,24,merged,"Both entities refer to Diethanolamine, used in amine treating, with consistent descriptions and type hints."
Can_5538cdef,Duplex stainless steels,En_9f9aaf18,Duplex stainless steel,"A family of stainless steels with a mixed austenitic-ferritic structure, including Alloy 2205, 2304, and 2507.",Material,0.95,5,merged,"These entities all describe duplex stainless steels with similar characteristics and alloy examples, indicating they refer to the same material concept."
Can_5538cdef,Duplex stainless steels,En_780dcc46,Duplex stainless steels,"Stainless steels such as Alloys 2205, 2304, and 2507, susceptible to 885°F embrittlement.",Material,0.9,5,merged,"These entities all describe duplex stainless steels with similar characteristics and alloy examples, indicating they refer to the same material concept."
Can_5538cdef,Duplex stainless steels,En_e285586d,duplex stainless steels,"A type of stainless steel known for its two-phase microstructure, also susceptible to sigma phase formation.",Material,0.85,5,merged,"These entities all describe duplex stainless steels with similar characteristics and alloy examples, indicating they refer to the same material concept."
Can_5538cdef,Duplex stainless steels,En_3fdf2a32,duplex stainless steels,"Stainless steels with a mixed microstructure of austenite and ferrite, susceptible to sigma phase formation.",Material,0.9,5,merged,"These entities all describe duplex stainless steels with similar characteristics and alloy examples, indicating they refer to the same material concept."
Can_bb4259c5,Ferritic,En_e5cd616f,Ferritic,A type of metallurgical structure (ferrite) found in carbon and low alloy steels and many 400 series stainless steels.,Material,0.95,3,merged,"These entities all describe the metallurgical structure known as ferrite, found in similar types of steels, and are consistent in their descriptions."
Can_bb4259c5,Ferritic,En_988b9f74,ferrite,A type of metallurgical structure normally found in carbon and low alloy steels and many 400 series stainless steels.,MaterialStructure,0.95,3,merged,"These entities all describe the metallurgical structure known as ferrite, found in similar types of steels, and are consistent in their descriptions."
Can_bb4259c5,Ferritic,En_c4e052ab,ferritic,"A type of metallurgical structure in stainless steels, characterized by a body-centered cubic crystal structure.",MetallurgicalStructure,0.9,3,merged,"These entities all describe the metallurgical structure known as ferrite, found in similar types of steels, and are consistent in their descriptions."
Can_19569b09,Ferritic Stainless Steels,En_6dade44d,ferritic stainless steels,"Stainless steels including Types 405, 409, 430, 442, and 446, characterized by a ferritic structure.",Material,0.95,3,merged,"These entities all refer to ferritic stainless steels, sharing similar characteristics and types, and are affected by similar metallurgical phenomena."
Can_19569b09,Ferritic Stainless Steels,En_34a31c97,ferritic stainless steels,"A type of stainless steel affected by 885oF embrittlement, as discussed in the study.",Material,0.9,3,merged,"These entities all refer to ferritic stainless steels, sharing similar characteristics and types, and are affected by similar metallurgical phenomena."
Can_19569b09,Ferritic Stainless Steels,En_7c633907,ferritic stainless steels,"Stainless steels with a ferritic structure, susceptible to sigma phase formation at high temperatures.",Material,0.9,3,merged,"These entities all refer to ferritic stainless steels, sharing similar characteristics and types, and are affected by similar metallurgical phenomena."
Can_5288ecab,Heat Affected Zone (HAZ),En_020da7f3,Heat Affected Zone (HAZ),"The portion of the base metal adjacent to a weld, altered by welding heat, affecting its properties.",Component,0.95,1,merged,"These entities all describe the same concept of a Heat Affected Zone (HAZ) in welding, with minor variations in wording but consistent meaning."
Can_5288ecab,Heat Affected Zone (HAZ),En_68db247c,Heat Affected Zone,"The portion of the base metal adjacent to a weld, altered by the heat of welding.",Component,0.95,1,merged,"These entities all describe the same concept of a Heat Affected Zone (HAZ) in welding, with minor variations in wording but consistent meaning."
Can_5288ecab,Heat Affected Zone (HAZ),En_6f42ecb0,Heat Affected Zone (HAZ),"The portion of the base metal adjacent to a weld, affected by the heat of welding.",Component,0.9,1,merged,"These entities all describe the same concept of a Heat Affected Zone (HAZ) in welding, with minor variations in wording but consistent meaning."
Can_5288ecab,Heat Affected Zone (HAZ),En_81b97647,Heat Affected Zone,"The portion of base metal adjacent to a weld, affected by welding heat, where SOHIC is observed.",Component,0.9,1,merged,"These entities all describe the same concept of a Heat Affected Zone (HAZ) in welding, with minor variations in wording but consistent meaning."
Can_5288ecab,Heat Affected Zone (HAZ),En_ddf03dfc,Heat Affected Zone,The area of a material that has had its properties altered due to welding or heat application.,Component,0.9,1,merged,"These entities all describe the same concept of a Heat Affected Zone (HAZ) in welding, with minor variations in wording but consistent meaning."
Can_5288ecab,Heat Affected Zone (HAZ),En_07558f18,HAZ,"Heat Affected Zone, a region of metal that has had its microstructure and properties altered by welding or heat.",Component,0.95,1,merged,"These entities all describe the same concept of a Heat Affected Zone (HAZ) in welding, with minor variations in wording but consistent meaning."
Can_185b2443,internal pressure,En_4d23d2c0,internal pressure,"Pressure resulting from hydrogen accumulation, contributing to crack development.",CausalHint,0.8,71,merged,"Both entities describe internal pressure due to hydrogen accumulation leading to crack development, with similar descriptions and contexts."
Can_185b2443,internal pressure,En_98cada1c,internal pressure,"Pressure resulting from the accumulation of hydrogen, contributing to crack development.",CausalHint,0.8,71,merged,"Both entities describe internal pressure due to hydrogen accumulation leading to crack development, with similar descriptions and contexts."
Can_a259004a,Ferritic Steels,En_e6bb7b05,ferritic steels,"Steels with a ferritic structure, including low alloy steels with chromium and molybdenum.",Material,0.9,3,merged,"Both entities describe ferritic steels with similar compositions and applications, indicating they refer to the same concept."
Can_a259004a,Ferritic Steels,En_1b58bfd8,ferritic steels,"Steels characterized by a ferritic metallurgical structure, often used for high temperature strength.",Material,0.9,3,merged,"Both entities describe ferritic steels with similar compositions and applications, indicating they refer to the same concept."
Can_fd330200,martensitic,En_80fc10b5,martensitic,A metallurgical structure (martensite) found in some 400 series stainless steel.,MetallurgicalStructure,0.9,7,merged,"Both entities describe the metallurgical structure 'martensitic', with similar descriptions and type hints, indicating they refer to the same concept."
Can_fd330200,martensitic,En_436e82f4,martensitic,"A metallurgical structure in stainless steels, known for its high strength and hardness.",MetallurgicalStructure,0.9,7,merged,"Both entities describe the metallurgical structure 'martensitic', with similar descriptions and type hints, indicating they refer to the same concept."
Can_d2bae0eb,Martensitic stainless steel,En_1df907f7,martensitic stainless steel,"Stainless steels that include Types 410, 410S, 416, 420, 440A, 440B, and 440C.",Material,0.9,7,merged,"These entities all refer to martensitic stainless steels, with consistent descriptions and type hints, indicating they are the same material."
Can_d2bae0eb,Martensitic stainless steel,En_93d2eea2,Martensitic stainless steel,"A type of stainless steel that includes Types 410, 410S, 416, 420, 440A, 440B, and 440C.",Material,0.95,7,merged,"These entities all refer to martensitic stainless steels, with consistent descriptions and type hints, indicating they are the same material."
Can_d2bae0eb,Martensitic stainless steel,En_70b4ca68,martensitic stainless steels,"Stainless steels with a martensitic structure, prone to sigma phase formation at elevated temperatures.",Material,0.9,7,merged,"These entities all refer to martensitic stainless steels, with consistent descriptions and type hints, indicating they are the same material."
Can_c32c2bf9,Methyldiethanolamine (MDEA),En_472d9921,Methyldiethanolamine (MDEA),A chemical used in amine treating to remove H2S and CO2 from hydrocarbon streams.,Material,0.95,24,merged,"All entities refer to Methyldiethanolamine, with consistent descriptions and type hints."
Can_c32c2bf9,Methyldiethanolamine (MDEA),En_fa90205a,MDEA,"Methyldiethanolamine, a chemical compound used in gas treatment processes to remove hydrogen sulfide and carbon dioxide.",Material,0.95,24,merged,"All entities refer to Methyldiethanolamine, with consistent descriptions and type hints."
Can_c32c2bf9,Methyldiethanolamine (MDEA),En_6bc9f6e2,MDEA,"Methyldiethanolamine, a chemical used in gas treatment processes to remove hydrogen sulfide and carbon dioxide.",Material,0.95,24,merged,"All entities refer to Methyldiethanolamine, with consistent descriptions and type hints."
Can_0d719244,Monoethanolamine (MEA),En_ca8cfb13,Monoethanolamine (MEA),A chemical used in amine treating to remove H2S and CO2 from hydrocarbon streams.,Material,0.95,24,merged,"All entities refer to Monoethanolamine, with consistent descriptions and type hints."
Can_0d719244,Monoethanolamine (MEA),En_7c6ac921,Monoethanolamine (MEA),A chemical used in amine treating to remove H2S and CO2 from hydrocarbon streams.,Material,0.95,24,merged,"All entities refer to Monoethanolamine, with consistent descriptions and type hints."
Can_0d719244,Monoethanolamine (MEA),En_a8c0e389,MEA,"Monoethanolamine, a chemical compound used in gas treatment and as a building block for detergents.",Material,0.95,24,merged,"All entities refer to Monoethanolamine, with consistent descriptions and type hints."
Can_78e43615,Nickel base,En_42d974e5,Nickel base,A family of alloys containing nickel as a major alloying element (>30%).,Material,0.95,21,merged,"Both entities have the same name, type, and description, indicating they refer to the same concept of nickel-based alloys."
Can_78e43615,Nickel base,En_619aa098,Nickel base,A family of alloys containing nickel as a major alloying element (>30%).,Material,0.95,21,merged,"Both entities have the same name, type, and description, indicating they refer to the same concept of nickel-based alloys."
Can_a5a03a7f,sulfidation,En_fd9a8770,sulfidation,A form of corrosion involving the reaction of a material with sulfur compounds.,DamageMechanism,0.85,101,merged,"All three entities refer to the same corrosion process involving sulfur compounds, with similar descriptions and high confidence."
Can_a5a03a7f,sulfidation,En_93abb6c2,sulfidation,A chemical process where materials degrade by reacting with sulfur compounds.,DamageMechanism,0.95,101,merged,"All three entities refer to the same corrosion process involving sulfur compounds, with similar descriptions and high confidence."
Can_a5a03a7f,sulfidation,En_29fa2faf,sulfidation,A corrosion process involving sulfur compounds that can degrade refractory materials.,DamageMechanism,0.95,101,merged,"All three entities refer to the same corrosion process involving sulfur compounds, with similar descriptions and high confidence."
Can_4862523d,AE,En_9bf8feac,AE,"Acoustic emission, a technique used to monitor the release of energy from materials under stress.",InspectionMethod,0.95,37,merged,Both entities refer to 'Acoustic emission' with similar descriptions and acronyms.
Can_4862523d,AE,En_fc99b670,AE,"Acoustic emission, a nondestructive testing method that listens for sound waves emitted by materials under stress.",InspectionMethod,0.95,37,merged,Both entities refer to 'Acoustic emission' with similar descriptions and acronyms.
Can_fabb02e8,AET,En_8499c941,AET,"Acoustic emission testing, a method for detecting and locating defects in materials.",InspectionMethod,0.95,37,merged,Both entities refer to 'Acoustic emission testing' with similar descriptions and acronyms.
Can_fabb02e8,AET,En_5e534ae2,AET,"Acoustic emission testing, a technique used to monitor sound waves emitted by materials under stress.",InspectionMethod,0.95,37,merged,Both entities refer to 'Acoustic emission testing' with similar descriptions and acronyms.
Can_93187b07,AUBT,En_e3a0e26a,AUBT,"Automated ultrasonic backscatter testing, a nondestructive testing method using ultrasonic waves to detect flaws.",InspectionMethod,0.95,38,merged,Both entities refer to the same inspection method with identical names and similar descriptions.
Can_93187b07,AUBT,En_ec5df86a,AUBT,"Automated ultrasonic backscatter testing, a method used for inspecting materials.",InspectionMethod,0.95,38,merged,Both entities refer to the same inspection method with identical names and similar descriptions.
Can_80f189ac,BFW,En_8793f11a,BFW,"Boiler feed water, water that is fed into a boiler to generate steam.",Material,0.95,90,merged,"Both entities refer to boiler feed water with identical descriptions and type hints, indicating they are the same concept."
Can_80f189ac,BFW,En_ce24ef6a,BFW,"Boiler feed water, used in boilers to generate steam.",Material,0.95,90,merged,"Both entities refer to boiler feed water with identical descriptions and type hints, indicating they are the same concept."
Can_647a8ebf,C2,En_b2a72b9c,C2,Chemical symbol referring to ethane or ethylene.,ChemicalSymbol,0.95,51,merged,Both entities refer to the chemical symbol C2 for ethane or ethylene with similar descriptions and high confidence.
Can_647a8ebf,C2,En_d893c717,C2,Chemical symbol referring to ethane or ethylene.,ChemicalSymbol,0.9,51,merged,Both entities refer to the chemical symbol C2 for ethane or ethylene with similar descriptions and high confidence.
Can_aa6930bb,C3,En_977a27f5,C3,Chemical symbol referring to propane or propylene.,ChemicalSymbol,0.95,51,merged,Both entities refer to the chemical symbol C3 for propane or propylene with similar descriptions and high confidence.
Can_aa6930bb,C3,En_54c85ac3,C3,Chemical symbol referring to propane or propylene.,ChemicalSymbol,0.9,51,merged,Both entities refer to the chemical symbol C3 for propane or propylene with similar descriptions and high confidence.
Can_84c913b2,C4,En_6edcc442,C4,Chemical symbol referring to butane or butylenes.,ChemicalSymbol,0.95,51,merged,Both entities refer to the chemical symbol C4 for butane or butylenes with similar descriptions and high confidence.
Can_84c913b2,C4,En_3a6a9432,C4,Chemical symbol referring to butane or butylenes.,ChemicalSymbol,0.9,51,merged,Both entities refer to the chemical symbol C4 for butane or butylenes with similar descriptions and high confidence.
Can_7c1123d8,CH4,En_898fa2ef,CH4,Chemical symbol for methane.,ChemicalSymbol,0.9,51,merged,"Both entities refer to methane, with CH4 being the chemical formula and CH being a shorthand, both with high confidence."
Can_7c1123d8,CH4,En_46c3775f,CH,"Chemical symbol for methane, a simple hydrocarbon gas.",Material,0.95,51,merged,"Both entities refer to methane, with CH4 being the chemical formula and CH being a shorthand, both with high confidence."
Can_38c384ec,CO,En_8e66ff3f,CO,"Chemical symbol for carbon monoxide, a colorless, odorless gas.",Material,0.95,51,merged,"Both entities refer to the chemical symbol 'CO', which can represent either carbon monoxide or carbon dioxide depending on context."
Can_38c384ec,CO,En_3d422cb7,CO,"Chemical symbol for carbon dioxide, a colorless gas produced by burning carbon and organic compounds.",Material,0.95,51,merged,"Both entities refer to the chemical symbol 'CO', which can represent either carbon monoxide or carbon dioxide depending on context."
Can_f1ed6270,Charpy V-notch impact test,En_bcc90812,CVN,"Charpy V-notch, a standardized high strain-rate test to determine the amount of energy absorbed by a material during fracture.",InspectionMethod,0.95,10,merged,"All three entities refer to the Charpy V-notch impact test, a standardized method for assessing material toughness and impact energy."
Can_f1ed6270,Charpy V-notch impact test,En_c49724e3,charpy v-notch,A standardized test method for determining the impact energy of materials.,InspectionMethod,0.95,10,merged,"All three entities refer to the Charpy V-notch impact test, a standardized method for assessing material toughness and impact energy."
Can_f1ed6270,Charpy V-notch impact test,En_051af4fc,Charpy V-notch impact test,A test method used to measure the impact energy and assess the toughness of materials.,InspectionMethod,0.85,10,merged,"All three entities refer to the Charpy V-notch impact test, a standardized method for assessing material toughness and impact energy."
Can_c81ede0f,deisobutanizer,En_6a169fc9,deisobutanizer,A distillation column used to separate isobutane from other hydrocarbons.,ProcessUnit,0.95,25,merged,"Both entities refer to the same process unit used for separating isobutane, with 'DIB' being an abbreviation for 'deisobutanizer'."
Can_c81ede0f,deisobutanizer,En_2b276ea3,DIB,"Deisobutanizer, a process unit used in the separation of isobutane from other hydrocarbons.",ProcessUnit,0.95,25,merged,"Both entities refer to the same process unit used for separating isobutane, with 'DIB' being an abbreviation for 'deisobutanizer'."
Can_cd9d8669,Departure from Nucleate Boiling,En_946730fd,Departure from Nucleate Boiling,"A condition where boiling transitions from nucleate to film boiling, reducing heat transfer efficiency.",OperatingCondition,0.95,90,merged,Both entities describe the same operating condition of Departure from Nucleate Boiling with similar descriptions and type hints.
Can_cd9d8669,Departure from Nucleate Boiling,En_896246bf,DNB,"Departure from Nucleate Boiling, a condition in heat transfer where boiling becomes unstable.",OperatingCondition,0.95,90,merged,Both entities describe the same operating condition of Departure from Nucleate Boiling with similar descriptions and type hints.
Can_77c59b55,EC,En_72b6797c,EC,"Eddy current, a test method primarily for non-ferromagnetic materials.",InspectionMethod,0.95,37,merged,Both entities refer to 'Eddy current' with identical descriptions and acronyms.
Can_77c59b55,EC,En_23e0fbfb,EC,"Eddy current, a test method primarily for non-ferromagnetic materials.",InspectionMethod,0.95,37,merged,Both entities refer to 'Eddy current' with identical descriptions and acronyms.
Can_a1b5b424,FCC,En_d8509674,FCC,"Fluid catalytic cracker, a process unit used in refining to convert heavy hydrocarbons into lighter products.",ProcessUnit,0.95,60,merged,"Both entities refer to the same process unit, the fluid catalytic cracker, with similar descriptions and high confidence."
Can_a1b5b424,FCC,En_2dfa9ef3,FCC,"Fluid catalytic cracker, a process unit in refineries.",ProcessUnit,0.95,60,merged,"Both entities refer to the same process unit, the fluid catalytic cracker, with similar descriptions and high confidence."
Can_c488325b,Field Metallographic Replication,En_1a1355eb,FMR,"Field metallographic replication, a technique for examining microstructures.",InspectionMethod,0.95,6,merged,"Both entities refer to field metallography, a method for examining microstructures in the field, and are described similarly."
Can_c488325b,Field Metallographic Replication,En_c4196a9b,field metallography,An inspection method used to detect spheroidization by examining the microstructure of steel in the field.,InspectionMethod,0.9,6,merged,"Both entities refer to field metallography, a method for examining microstructures in the field, and are described similarly."
Can_a060a895,water,En_f34f1f60,H2O,"Water, a chemical compound with formula H2O.",Material,0.95,79,merged,"Both entities refer to water, described as H2O, and are used interchangeably in the text."
Can_a060a895,water,En_f953a966,water,"A chemical compound, H2O, essential for life and used in various industrial applications.",Material,0.95,79,merged,"Both entities refer to water, described as H2O, and are used interchangeably in the text."
Can_77abea9f,heavy cycle oil,En_5cbfd339,heavy cycle oil,"A type of oil used in refining processes, abbreviated as HCO.",Material,0.9,52,merged,"Both entities refer to heavy cycle oil, abbreviated as HCO, and describe it as a material used in refining processes."
Can_77abea9f,heavy cycle oil,En_5464e261,HCO,"Heavy cycle oil, a petroleum product used as a feedstock for further processing in refineries.",Material,0.95,52,merged,"Both entities refer to heavy cycle oil, abbreviated as HCO, and describe it as a material used in refining processes."
Can_8d91f498,HPS,En_72ca0a4f,HPS,"High pressure separator, a device used in the oil and gas industry to separate fluids at high pressure.",ProcessUnit,0.95,72,merged,"Both entities refer to the same process unit, a high pressure separator, in the oil and gas industry."
Can_8d91f498,HPS,En_1b563b32,high pressure separator,"A process unit used to separate components at high pressure, typically in oil and gas operations.",ProcessUnit,0.9,72,merged,"Both entities refer to the same process unit, a high pressure separator, in the oil and gas industry."
Can_00a8b4ae,Heat Stable Amine Salts (HSAS),En_d4eceaf9,heat stable amine salts,Compounds formed in amine treating processes that are resistant to thermal degradation.,Material,0.9,24,merged,"Both entities refer to heat stable amine salts, with consistent descriptions and type hints."
Can_00a8b4ae,Heat Stable Amine Salts (HSAS),En_71c358ce,HSAS,"Heat stable amine salts, compounds used in chemical processes that resist decomposition at high temperatures.",Material,0.95,24,merged,"Both entities refer to heat stable amine salts, with consistent descriptions and type hints."
Can_56865264,IP,En_f4ab142f,IP,"Intermediate pressure, a term used to describe a specific range of pressure in industrial systems.",OperatingCondition,0.9,72,merged,Both entities describe intermediate pressure as an operating condition in industrial systems.
Can_56865264,IP,En_583d9159,IP,"Intermediate pressure, a level of pressure used in various industrial processes.",OperatingCondition,0.95,72,merged,Both entities describe intermediate pressure as an operating condition in industrial systems.
Can_85ea9258,IRIS,En_6eeed566,IRIS,"Internal rotating inspection system, a method used for inspecting the internal surfaces of pipes and vessels.",InspectionMethod,0.95,16,merged,"Both entities refer to the same inspection method, IRIS, with slightly different descriptions but the same core concept."
Can_85ea9258,IRIS,En_f04c1c02,IRIS,"Internal rotating inspection system, a method used for inspecting the internal surfaces of equipment.",InspectionMethod,0.95,16,merged,"Both entities refer to the same inspection method, IRIS, with slightly different descriptions but the same core concept."
Can_1ee341e7,light coker gas oil,En_cb54908e,LCGO,"Light coker gas oil, a type of hydrocarbon product derived from the coking process.",Material,0.95,52,merged,"Both entities refer to light coker gas oil, abbreviated as LCGO, and have identical descriptions and type hints."
Can_1ee341e7,light coker gas oil,En_e192c6ad,LCGO,"Light coker gas oil, a type of hydrocarbon product derived from the coking process.",Material,0.95,52,merged,"Both entities refer to light coker gas oil, abbreviated as LCGO, and have identical descriptions and type hints."
Can_9c44ef74,LP,En_d46213de,LP,"Low pressure, a condition or specification in industrial processes.",OperatingCondition,0.95,72,merged,Both entities refer to low pressure as an operating condition in industrial contexts.
